"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.25ile","KM.median","KM.75ile","KM.90ile","KM.SD","ROS.mean","ROS.25ile","ROS.median","ROS.75ile","ROS.90ile","ROS.SD","ROS_correlation","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","PPCC_test","wilcoxon_pvalue"
"23","Benz(a)anthracene water  (ug/L)","B",65.6,511,176,335,0.004,11,0.002,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20688105815282,0.00088732105450521,0.006,0.0334679198543185,0.19,1.07554654998839,0.99533192538693,NA,NA,NA,"do not reject Ho",0.468205920044794
"24","Benzene water  (ug/L)","C",99.2,120,1,119,2.6,2.6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.563702861650773
"25","Benzo(a)pyrene sediment  (ug/Kg)","A",17.7,79,65,14,16.2,260000,0.1,500,22986.5200386622,5193.20025041089,12808.0345833525,33165.0054939719,120,720,31000,77000,46158.173473704,NA,NA,NA,NA,NA,NA,0.965667777424005,1.30825245782118e-05,25.3441292950587,3,"reject Ho",0.0714791031932659
"26","Benzo(a)pyrene water  (ug/L)","B",71.6,631,179,452,0.004,15,0.004,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214139157114848,0.000849002628904686,0.00535723920913216,0.036069032727626,0.24,1.15438029540847,0.993745286640268,NA,NA,NA,"do not reject Ho",0.520560013985117
"27","Benzo(b)fluoranthene sediment  (ug/Kg)","A",20,45,36,9,1.07,240000,0.1,220,18471.6416282828,6451.19099375919,5827.53962312568,31115.74363344,82.4000000000233,240,17000,49000,43275.9047936399,NA,NA,NA,NA,NA,NA,0.95399535836773,0.000409800598479171,18.1489787192562,3,"reject Ho",0.51838521259862
"28","Benzo(b)fluoranthene water  (ug/L)","B",69.6,359,109,250,0.02,13,0.0094,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330477052406388,0.00265053269397338,0.0140128111905497,0.1,0.3144,1.38550607051168,0.992751713445621,NA,NA,NA,"do not reject Ho",0.345364253371826
"29","Benzo(b,k)fluoranthene sediment  (ug/Kg)","A",0,9,9,0,110,2900,NA,NA,1294.44444444444,303.80965857256,698.988455486817,1889.90043340207,370,1400,1700,NA,911.428975717679,NA,NA,NA,NA,NA,NA,0.939217436964525,NA,NA,NA,"do not reject Ho",NA
"30","Benzo(b,k)fluoranthene water  (ug/L)","B",50.8,126,62,64,0.005,0.315,0.003,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0206829693331224,0.00423777282600885,0.00983106764982786,0.02275,0.0475,0.0368008588517604,0.991301685275609,NA,NA,NA,"do not reject Ho",0.0994060356730193
"31","Benzo(g,h,i)perylene sediment  (ug/Kg)","A",11.3,71,63,8,4,160000,1,500,17140.2533935671,3755.6560666785,9779.30276455792,24501.2040225763,180,800,24000,52000,31645.7205143714,NA,NA,NA,NA,NA,NA,0.969171022781142,0.000183553838803974,19.8360397295551,3,"reject Ho",0.0178180970270458
"32","Benzo(g,h,i)perylene water  (ug/L)","B",60,633,253,380,0.004,12,0.003,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191399127730117,0.00320672720440312,0.0131735507110577,0.075,0.28,0.910242087533346,0.995124602591425,NA,NA,NA,"do not reject Ho",0.671866204688041
"33","Benzo(k)fluoranthene sediment  (ug/Kg)","A",28.9,45,32,13,10.2,230000,0.1,530,17011.7073222611,6084.75009377835,5085.81628352882,28937.5983609934,10.2000000000116,131,13000,49000,40817.7445073598,NA,NA,NA,NA,NA,NA,0.967766553593456,0.00126717231915929,15.7646659403032,3,"do not reject Ho",0.76153007268513
"34","Benzo(k)fluoranthene water  (ug/L)","B",76,359,86,273,0.014,13,0.0094,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304145506541848,0.0010247738593612,0.00653492793309076,0.0516148531650897,0.276,1.3728135344364,0.99383716505329,NA,NA,NA,"do not reject Ho",0.357070220588545
"35","Benzofluoranthenes, Total sediment  (ug/Kg)","A",0,34,34,0,177,340000,NA,NA,83220.5882352941,15731.4668042444,52387.4798749876,114053.696595601,2070,57000,130000,220000,91729.4261709049,NA,NA,NA,NA,NA,NA,0.937771355305971,0.0322663657379468,8.78663775715431,3,"reject Ho",0.143061234352835
"36","Benzofluoranthenes, Total water  (ug/L)","B",54.4,149,68,81,0.0666,5.7,0.0094,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.329519498301206,0.0301271953915641,0.0907006400877789,0.28,1.022,0.709871376063325,0.991578145001823,NA,NA,NA,"do not reject Ho",0.779267909669425
"37","Biochemical Oxygen Demand water  (ug/L)","A",21.6,538,422,116,1100,68000,1000,15000,6228.36724862655,328.589648073818,5584.34337270918,6872.39112454393,2200,3900,7200,13100,7621.58004418022,NA,NA,NA,NA,NA,NA,0.997046159205981,1.35219968898653e-23,109.578515808776,3,"do not reject Ho",6.32685415920237e-11
"38","Bis(2-ethylhexyl) phthalate sediment  (ug/Kg)","A",7.3,55,51,4,21.6,34000,20,2200,6855.87853535353,1006.57497224403,4883.02784201582,8828.72922869125,1760,4800,11000,15000,7464.95978630457,NA,NA,NA,NA,NA,NA,0.91920055665417,6.51452225497451e-11,50.4160819877519,3,"reject Ho",0.171807934039268
"39","Bis(2-ethylhexyl) phthalate water  (ug/L)","A",38.1,622,385,237,0.15,41.4,0.024,10.1,2.11821988630895,0.151750541478641,1.82079429037637,2.41564548224154,0.455999999999996,0.976999999999997,2.23,4.91999999999999,3.78464755213688,NA,NA,NA,NA,NA,NA,0.997712125795984,9.97007333472235e-43,198.271207206957,3,"do not reject Ho",0.71587895111708
"40","BTEX water  (ug/L)","C",97.5,120,3,117,1.1,6.4,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311872964786022
