"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.median","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS_correlation","PPCC_test","MLE.mean","MLE.mean.SE","MLE.mean.95LCL","MLE.mean.95UCL","MLE.median","MLE.SD"
"74","Diethyl phthalate water  (ug/L)","B",69.4,634,194,440,0.026,8.9,0.024,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.990068351934373,"do not reject Ho",0.203698552503337,0.00945540687225641,0.186841277865683,0.222076731469281,0.132426194720079,0.238081061661833
"75","Dimethyl phthalate sediment  (ug/Kg)","C",80.4,56,11,45,28,628,1,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Dimethyl phthalate water  (ug/L)","C",85.2,634,94,540,0.025,2.8,0.021,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Ethylbenzene water  (ug/L)","C",100,120,0,120,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Fecal coliform water  (cfu/100mL)","A",6.6,560,523,37,1,1100000,1,4,4778.15215014582,2008.63480119368,841.300281712432,8715.00401857921,350,47532.974955889,1.9098364117627e-14,66.9600879718206,3,0.986252367922842,"reject Ho",NA,NA,NA,NA,NA,NA
"79","Fines sediment  (%)","A",0,73,73,0,3.5,178,NA,NA,43.275205479452,4.69538495166826,34.0724200806309,52.4779908782732,29.4,40.1173866127611,0.176943062625631,4.93069297804318,3,0.990441085257702,"do not reject Ho",NA,NA,NA,NA,NA,NA
"80","Fluoranthene sediment  (ug/Kg)","A",6.3,79,74,5,1.02,590000,1,500,56948.9823028237,13252.4004742256,30974.75466464,82923.2099410074,1900,117789.911911042,3.05128596210791e-05,23.5836661768535,3,0.972656524122477,"reject Ho",NA,NA,NA,NA,NA,NA
"81","Fluoranthene water  (ug/L)","A",40.9,633,374,259,0.007,33,0.005,1.1,0.482382916338767,0.103247846262857,0.280020856182239,0.684744976495296,0.0390000000000015,2.59766328471618,3.35855390520983e-32,149.511460515439,3,0.971861020896045,"reject Ho",NA,NA,NA,NA,NA,NA
"82","Fluorene sediment  (ug/Kg)","A",41,78,46,32,19.3,14000,0.1,530,1493.42057636651,331.378195341333,843.931248235614,2142.9099044974,60,2926.65297756993,1.80533516114245e-06,29.4452366342974,3,0.954824054501512,"reject Ho",NA,NA,NA,NA,NA,NA
"83","Fluorene water  (ug/L)","C",87.4,634,80,554,0.003,1.6,0.003,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Gasoline Range Organics water  (ug/L)","C",89.6,491,51,440,11,395,10,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Gravel sediment  (%)","A",6.8,73,68,5,0,59.2,0.1,0.1,7.94452054794522,1.32072689816941,5.35594339411988,10.5330977017706,5.20000000000002,11.284295564501,0.90333113961366,0.569705804644048,3,0.944423037582053,"reject Ho",NA,NA,NA,NA,NA,NA
"86","Hardness as CaCO3 water  (ug/L)","A",0.3,642,640,2,1900,1300000,10000,10000,35715.4025550887,2915.11462770118,30001.8828739885,41428.9222361889,25200,73862.355052308,2.01598208156957e-54,252.364145962967,3,0.986367911374886,"reject Ho",NA,NA,NA,NA,NA,NA
"87","Heavy Fuel Oil sediment  (ug/Kg)","A",0,12,12,0,820000,5040000,NA,NA,2669166.66666667,414342.228505896,1857070.82152105,3481262.51181229,2800000,1435323.58298705,0.0156097627256458,8.31971748944226,2,0.948995566541506,"do not reject Ho",NA,NA,NA,NA,NA,NA
"88","Heavy Fuel Oil water  (ug/L)","A",21.5,298,234,64,21,9000,20,500,762.142750164075,67.0563178556938,630.714782231045,893.570718097105,360,1157.57152253346,2.03391949515577e-38,178.319655644067,3,0.998359616729183,"do not reject Ho",NA,NA,NA,NA,NA,NA
"89","HPAH sediment  (ug/Kg)","A",3.3,90,87,3,3.46,2683000,1,220,228297.757777778,51029.6939583076,128281.395477394,328314.120078162,7840,484110.183628756,5.6366654795359e-05,22.3047760866199,3,0.976055873453118,"reject Ho",NA,NA,NA,NA,NA,NA
"90","HPAH water  (ug/L)","A",32.7,633,426,207,0.012,154.3,0.0094,2.2,2.3668644387509,0.488982125371726,1.40847708393847,3.32525179356333,0.110000000000042,12.3025415050965,2.66117846739992e-29,136.068512877185,3,0.980135067349298,"reject Ho",NA,NA,NA,NA,NA,NA
"91","Indeno(1,2,3-cd)pyrene sediment  (ug/Kg)","A",13.9,79,68,11,19.4,160000,1,500,14900.2886171098,3291.53435939634,8448.9998188169,21351.5774154028,540,29255.797317589,5.4931002079428e-05,22.3585944542266,3,0.97447030244435,"reject Ho",NA,NA,NA,NA,NA,NA
"92","Indeno(1,2,3-cd)pyrene water  (ug/L)","B",71.3,634,182,452,0.004,10,0.003,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993981623491672,"do not reject Ho",0.298598535846638,0.579761092461924,0.18480678009456,0.482455706247004,0.00610647829118906,14.5980113038351
"93","Lead sediment  (ug/Kg)","A",2.5,80,78,2,360,1790000,10,10,188329.45,28179.4728673691,133098.698076633,243560.201923367,114000,252044.867606193,5.32821167187336e-08,36.6989215769688,3,0.946522097841344,"reject Ho",NA,NA,NA,NA,NA,NA
"94","Lead water  (ug/L)","A",0.9,638,632,6,0.1,294,0.05,0.1,15.2465909090909,1.0551444195356,13.1785458483127,17.3146359698692,6.12,26.6515361282836,1.51297520628482e-53,248.316993310042,3,0.992812250236398,"do not reject Ho",NA,NA,NA,NA,NA,NA
"95","Lead water dissolved (ug/L)","A",19.4,628,506,122,0.016,21.8,0.02,1.8,0.776906133571976,0.0860078951737237,0.608333756645382,0.945478510498571,0.200000000000003,2.15535167530279,4.52315743266857e-31,144.275719676549,3,0.987422113528077,"do not reject Ho",NA,NA,NA,NA,NA,NA
"96","LPAH sediment  (ug/Kg)","A",5.8,86,81,5,1.94,307500,0.1,500,28429.9221323422,6464.55083986016,15759.6353099882,41100.2089546963,1200,59949.7782335995,2.01063285227843e-05,24.4513357203845,3,0.980417625466047,"reject Ho",NA,NA,NA,NA,NA,NA
"97","LPAH water  (ug/L)","A",38.6,634,389,245,0.006,24.3,0.0094,1.1,0.379994122078974,0.0705502036772637,0.241718263769572,0.518269980388376,0.0530000000000044,1.77640873828766,3.57768529851784e-23,107.614790047173,3,0.955195081565754,"reject Ho",NA,NA,NA,NA,NA,NA
"98","Lube Oil water  (ug/L)","B",58.4,89,37,52,194,1550,190,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.956544651417281,"reject Ho",359.388379850766,76.173589607589,252.462382264474,511.601001358108,160.751378781542,718.620207119018
"99","Magnesium water  (ug/L)","A",0,352,352,0,90,96500,NA,NA,2121.26988636363,284.992619410345,1562.69461645963,2679.84515626764,1500,5346.93549406257,7.06033522562589e-48,222.09967233645,3,0.984332863337821,"reject Ho",NA,NA,NA,NA,NA,NA
"100","Magnesium water dissolved (ug/L)","A",0,2,2,0,210,310,NA,NA,260,50,162.001800772997,357.998199227003,NA,70.7106781186548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
