"","Var1","Var2","Freq","Var1.1","Var2.1","Freq.1","Var1.2","Var2.2","Freq.2"
"165","Total Xylenes water  (ug/L)","FALSE",120,"Total Xylenes water  (ug/L)","FALSE",120,"Total Xylenes water  (ug/L)","FALSE",120
"166","TPHGx water  (ug/L)","FALSE",34,"TPHGx water  (ug/L)","FALSE",34,"TPHGx water  (ug/L)","FALSE",34
"167","Triclopyr sediment  (ug/Kg)","FALSE",11,"Triclopyr sediment  (ug/Kg)","FALSE",11,"Triclopyr sediment  (ug/Kg)","FALSE",11
"168","Triclopyr water  (ug/L)","FALSE",512,"Triclopyr water  (ug/L)","FALSE",512,"Triclopyr water  (ug/L)","FALSE",512
"169","Turbidity water  (NTU)","FALSE",0,"Turbidity water  (NTU)","FALSE",0,"Turbidity water  (NTU)","FALSE",0
"170","Zinc sediment  (ug/Kg)","FALSE",0,"Zinc sediment  (ug/Kg)","FALSE",0,"Zinc sediment  (ug/Kg)","FALSE",0
"171","Zinc water  (ug/L)","FALSE",196,"Zinc water  (ug/L)","FALSE",178,"Zinc water  (ug/L)","FALSE",6
"172","Zinc water dissolved (ug/L)","FALSE",388,"Zinc water dissolved (ug/L)","FALSE",364,"Zinc water dissolved (ug/L)","FALSE",16
"173","1-Methylnaphthalene sediment  (ug/Kg)","TRUE",0,"1-Methylnaphthalene sediment  (ug/Kg)","TRUE",0,"1-Methylnaphthalene sediment  (ug/Kg)","TRUE",0
"174","1-Methylnaphthalene water  (ug/L)","TRUE",0,"1-Methylnaphthalene water  (ug/L)","TRUE",0,"1-Methylnaphthalene water  (ug/L)","TRUE",0
"175","2-Methylnaphthalene sediment  (ug/Kg)","TRUE",0,"2-Methylnaphthalene sediment  (ug/Kg)","TRUE",0,"2-Methylnaphthalene sediment  (ug/Kg)","TRUE",0
"176","2-Methylnaphthalene water  (ug/L)","TRUE",0,"2-Methylnaphthalene water  (ug/L)","TRUE",0,"2-Methylnaphthalene water  (ug/L)","TRUE",0
"177","2-Nitrophenol sediment  (ug/Kg)","TRUE",0,"2-Nitrophenol sediment  (ug/Kg)","TRUE",0,"2-Nitrophenol sediment  (ug/Kg)","TRUE",0
"178","2,4-D sediment  (ug/Kg)","TRUE",0,"2,4-D sediment  (ug/Kg)","TRUE",0,"2,4-D sediment  (ug/Kg)","TRUE",0
"179","2,4-D water  (ug/L)","TRUE",0,"2,4-D water  (ug/L)","TRUE",0,"2,4-D water  (ug/L)","TRUE",0
"180","2,4-Dichlorophenol sediment  (ug/Kg)","TRUE",0,"2,4-Dichlorophenol sediment  (ug/Kg)","TRUE",0,"2,4-Dichlorophenol sediment  (ug/Kg)","TRUE",0
"181","2,4-Dimethylphenol sediment  (ug/Kg)","TRUE",0,"2,4-Dimethylphenol sediment  (ug/Kg)","TRUE",0,"2,4-Dimethylphenol sediment  (ug/Kg)","TRUE",0
"182","2,4,5-Trichlorophenol sediment  (ug/Kg)","TRUE",0,"2,4,5-Trichlorophenol sediment  (ug/Kg)","TRUE",0,"2,4,5-Trichlorophenol sediment  (ug/Kg)","TRUE",0
"183","2,4,6-Trichlorophenol sediment  (ug/Kg)","TRUE",0,"2,4,6-Trichlorophenol sediment  (ug/Kg)","TRUE",0,"2,4,6-Trichlorophenol sediment  (ug/Kg)","TRUE",0
"184","4-Chloro-3-Methylphenol sediment  (ug/Kg)","TRUE",0,"4-Chloro-3-Methylphenol sediment  (ug/Kg)","TRUE",0,"4-Chloro-3-Methylphenol sediment  (ug/Kg)","TRUE",0
"185","4-Nitrophenol sediment  (ug/Kg)","TRUE",0,"4-Nitrophenol sediment  (ug/Kg)","TRUE",0,"4-Nitrophenol sediment  (ug/Kg)","TRUE",0
"186","Acenaphthene sediment  (ug/Kg)","TRUE",0,"Acenaphthene sediment  (ug/Kg)","TRUE",0,"Acenaphthene sediment  (ug/Kg)","TRUE",0
"187","Acenaphthene water  (ug/L)","TRUE",0,"Acenaphthene water  (ug/L)","TRUE",0,"Acenaphthene water  (ug/L)","TRUE",0
"188","Acenaphthylene sediment  (ug/Kg)","TRUE",0,"Acenaphthylene sediment  (ug/Kg)","TRUE",0,"Acenaphthylene sediment  (ug/Kg)","TRUE",0
"189","Acenaphthylene water  (ug/L)","TRUE",0,"Acenaphthylene water  (ug/L)","TRUE",0,"Acenaphthylene water  (ug/L)","TRUE",0
"190","Ammonia water  (ug/L)","TRUE",0,"Ammonia water  (ug/L)","TRUE",0,"Ammonia water  (ug/L)","TRUE",0
"191","Anthracene sediment  (ug/Kg)","TRUE",0,"Anthracene sediment  (ug/Kg)","TRUE",0,"Anthracene sediment  (ug/Kg)","TRUE",0
"192","Anthracene water  (ug/L)","TRUE",0,"Anthracene water  (ug/L)","TRUE",0,"Anthracene water  (ug/L)","TRUE",0
"193","Arsenic water dissolved (ug/L)","TRUE",0,"Arsenic water dissolved (ug/L)","TRUE",0,"Arsenic water dissolved (ug/L)","TRUE",16
"194","Benz(a)anthracene sediment  (ug/Kg)","TRUE",0,"Benz(a)anthracene sediment  (ug/Kg)","TRUE",0,"Benz(a)anthracene sediment  (ug/Kg)","TRUE",0
"195","Benz(a)anthracene water  (ug/L)","TRUE",0,"Benz(a)anthracene water  (ug/L)","TRUE",0,"Benz(a)anthracene water  (ug/L)","TRUE",176
"196","Benzene water  (ug/L)","TRUE",0,"Benzene water  (ug/L)","TRUE",0,"Benzene water  (ug/L)","TRUE",0
"197","Benzo(a)pyrene sediment  (ug/Kg)","TRUE",0,"Benzo(a)pyrene sediment  (ug/Kg)","TRUE",0,"Benzo(a)pyrene sediment  (ug/Kg)","TRUE",0
"198","Benzo(a)pyrene water  (ug/L)","TRUE",0,"Benzo(a)pyrene water  (ug/L)","TRUE",0,"Benzo(a)pyrene water  (ug/L)","TRUE",179
"199","Benzo(b)fluoranthene sediment  (ug/Kg)","TRUE",0,"Benzo(b)fluoranthene sediment  (ug/Kg)","TRUE",0,"Benzo(b)fluoranthene sediment  (ug/Kg)","TRUE",0
"200","Benzo(b)fluoranthene water  (ug/L)","TRUE",0,"Benzo(b)fluoranthene water  (ug/L)","TRUE",0,"Benzo(b)fluoranthene water  (ug/L)","TRUE",109
"201","Benzo(b,k)fluoranthene sediment  (ug/Kg)","TRUE",0,"Benzo(b,k)fluoranthene sediment  (ug/Kg)","TRUE",0,"Benzo(b,k)fluoranthene sediment  (ug/Kg)","TRUE",0
"202","Benzo(b,k)fluoranthene water  (ug/L)","TRUE",0,"Benzo(b,k)fluoranthene water  (ug/L)","TRUE",0,"Benzo(b,k)fluoranthene water  (ug/L)","TRUE",62
"203","Benzo(g,h,i)perylene sediment  (ug/Kg)","TRUE",0,"Benzo(g,h,i)perylene sediment  (ug/Kg)","TRUE",0,"Benzo(g,h,i)perylene sediment  (ug/Kg)","TRUE",0
"204","Benzo(g,h,i)perylene water  (ug/L)","TRUE",0,"Benzo(g,h,i)perylene water  (ug/L)","TRUE",0,"Benzo(g,h,i)perylene water  (ug/L)","TRUE",0
"205","Benzo(k)fluoranthene sediment  (ug/Kg)","TRUE",0,"Benzo(k)fluoranthene sediment  (ug/Kg)","TRUE",0,"Benzo(k)fluoranthene sediment  (ug/Kg)","TRUE",0
"206","Benzo(k)fluoranthene water  (ug/L)","TRUE",0,"Benzo(k)fluoranthene water  (ug/L)","TRUE",0,"Benzo(k)fluoranthene water  (ug/L)","TRUE",0
"207","Benzofluoranthenes, Total sediment  (ug/Kg)","TRUE",0,"Benzofluoranthenes, Total sediment  (ug/Kg)","TRUE",0,"Benzofluoranthenes, Total sediment  (ug/Kg)","TRUE",0
"208","Benzofluoranthenes, Total water  (ug/L)","TRUE",0,"Benzofluoranthenes, Total water  (ug/L)","TRUE",0,"Benzofluoranthenes, Total water  (ug/L)","TRUE",0
"209","Biochemical Oxygen Demand water  (ug/L)","TRUE",0,"Biochemical Oxygen Demand water  (ug/L)","TRUE",0,"Biochemical Oxygen Demand water  (ug/L)","TRUE",0
"210","Bis(2-ethylhexyl) phthalate sediment  (ug/Kg)","TRUE",0,"Bis(2-ethylhexyl) phthalate sediment  (ug/Kg)","TRUE",0,"Bis(2-ethylhexyl) phthalate sediment  (ug/Kg)","TRUE",0
"211","Bis(2-ethylhexyl) phthalate water  (ug/L)","TRUE",0,"Bis(2-ethylhexyl) phthalate water  (ug/L)","TRUE",0,"Bis(2-ethylhexyl) phthalate water  (ug/L)","TRUE",184
"212","BTEX water  (ug/L)","TRUE",0,"BTEX water  (ug/L)","TRUE",0,"BTEX water  (ug/L)","TRUE",0
"213","Butyl benzyl phthalate sediment  (ug/Kg)","TRUE",0,"Butyl benzyl phthalate sediment  (ug/Kg)","TRUE",0,"Butyl benzyl phthalate sediment  (ug/Kg)","TRUE",0
"214","Butyl benzyl phthalate water  (ug/L)","TRUE",0,"Butyl benzyl phthalate water  (ug/L)","TRUE",0,"Butyl benzyl phthalate water  (ug/L)","TRUE",0
"215","Cadmium sediment  (ug/Kg)","TRUE",0,"Cadmium sediment  (ug/Kg)","TRUE",0,"Cadmium sediment  (ug/Kg)","TRUE",0
"216","Cadmium water  (ug/L)","TRUE",31,"Cadmium water  (ug/L)","TRUE",64,"Cadmium water  (ug/L)","TRUE",0
"217","Cadmium water dissolved (ug/L)","TRUE",2,"Cadmium water dissolved (ug/L)","TRUE",3,"Cadmium water dissolved (ug/L)","TRUE",0
"218","Calcium water  (ug/L)","TRUE",0,"Calcium water  (ug/L)","TRUE",0,"Calcium water  (ug/L)","TRUE",0
"219","Calcium water dissolved (ug/L)","TRUE",0,"Calcium water dissolved (ug/L)","TRUE",0,"Calcium water dissolved (ug/L)","TRUE",0
"220","Chloride water  (ug/L)","TRUE",1,"Chloride water  (ug/L)","TRUE",4,"Chloride water  (ug/L)","TRUE",0
"221","Chlorpyrifos sediment  (ug/Kg)","TRUE",0,"Chlorpyrifos sediment  (ug/Kg)","TRUE",0,"Chlorpyrifos sediment  (ug/Kg)","TRUE",0
"222","Chlorpyrifos water  (ug/L)","TRUE",0,"Chlorpyrifos water  (ug/L)","TRUE",0,"Chlorpyrifos water  (ug/L)","TRUE",0
"223","Chrysene sediment  (ug/Kg)","TRUE",0,"Chrysene sediment  (ug/Kg)","TRUE",0,"Chrysene sediment  (ug/Kg)","TRUE",0
"224","Chrysene water  (ug/L)","TRUE",0,"Chrysene water  (ug/L)","TRUE",0,"Chrysene water  (ug/L)","TRUE",291
"225","Conductivity water  (uS/cm)","TRUE",0,"Conductivity water  (uS/cm)","TRUE",0,"Conductivity water  (uS/cm)","TRUE",0
"226","Copper sediment  (ug/Kg)","TRUE",0,"Copper sediment  (ug/Kg)","TRUE",0,"Copper sediment  (ug/Kg)","TRUE",0
"227","Copper water  (ug/L)","TRUE",478,"Copper water  (ug/L)","TRUE",521,"Copper water  (ug/L)","TRUE",0
"228","Copper water dissolved (ug/L)","TRUE",302,"Copper water dissolved (ug/L)","TRUE",347,"Copper water dissolved (ug/L)","TRUE",0
"229","CPAH sediment  (ug/Kg)","TRUE",0,"CPAH sediment  (ug/Kg)","TRUE",0,"CPAH sediment  (ug/Kg)","TRUE",0
"230","CPAH water  (ug/L)","TRUE",0,"CPAH water  (ug/L)","TRUE",0,"CPAH water  (ug/L)","TRUE",0
"231","Di-N-Octyl Phthalate sediment  (ug/Kg)","TRUE",0,"Di-N-Octyl Phthalate sediment  (ug/Kg)","TRUE",0,"Di-N-Octyl Phthalate sediment  (ug/Kg)","TRUE",0
"232","Di-N-Octyl Phthalate water  (ug/L)","TRUE",0,"Di-N-Octyl Phthalate water  (ug/L)","TRUE",0,"Di-N-Octyl Phthalate water  (ug/L)","TRUE",0
"233","Diazinon sediment  (ug/Kg)","TRUE",0,"Diazinon sediment  (ug/Kg)","TRUE",0,"Diazinon sediment  (ug/Kg)","TRUE",0
"234","Diazinon water  (ug/L)","TRUE",2,"Diazinon water  (ug/L)","TRUE",2,"Diazinon water  (ug/L)","TRUE",0
"235","Dibenzo(a,h)anthracene sediment  (ug/Kg)","TRUE",0,"Dibenzo(a,h)anthracene sediment  (ug/Kg)","TRUE",0,"Dibenzo(a,h)anthracene sediment  (ug/Kg)","TRUE",0
"236","Dibenzo(a,h)anthracene water  (ug/L)","TRUE",0,"Dibenzo(a,h)anthracene water  (ug/L)","TRUE",0,"Dibenzo(a,h)anthracene water  (ug/L)","TRUE",88
"237","Dibutyl phthalate sediment  (ug/Kg)","TRUE",0,"Dibutyl phthalate sediment  (ug/Kg)","TRUE",0,"Dibutyl phthalate sediment  (ug/Kg)","TRUE",0
"238","Dibutyl phthalate water  (ug/L)","TRUE",0,"Dibutyl phthalate water  (ug/L)","TRUE",0,"Dibutyl phthalate water  (ug/L)","TRUE",0
"239","Dichlobenil sediment  (ug/Kg)","TRUE",0,"Dichlobenil sediment  (ug/Kg)","TRUE",0,"Dichlobenil sediment  (ug/Kg)","TRUE",0
"240","Dichlobenil water  (ug/L)","TRUE",0,"Dichlobenil water  (ug/L)","TRUE",0,"Dichlobenil water  (ug/L)","TRUE",0
"241","Diesel Fuel sediment  (ug/Kg)","TRUE",0,"Diesel Fuel sediment  (ug/Kg)","TRUE",0,"Diesel Fuel sediment  (ug/Kg)","TRUE",0
"242","Diesel Fuel water  (ug/L)","TRUE",0,"Diesel Fuel water  (ug/L)","TRUE",0,"Diesel Fuel water  (ug/L)","TRUE",0
"243","Diesel Range Organics sediment  (ug/Kg)","TRUE",0,"Diesel Range Organics sediment  (ug/Kg)","TRUE",0,"Diesel Range Organics sediment  (ug/Kg)","TRUE",0
"244","Diesel Range Organics water  (ug/L)","TRUE",0,"Diesel Range Organics water  (ug/L)","TRUE",0,"Diesel Range Organics water  (ug/L)","TRUE",0
"245","Diethyl phthalate sediment  (ug/Kg)","TRUE",0,"Diethyl phthalate sediment  (ug/Kg)","TRUE",0,"Diethyl phthalate sediment  (ug/Kg)","TRUE",0
"246","Diethyl phthalate water  (ug/L)","TRUE",0,"Diethyl phthalate water  (ug/L)","TRUE",0,"Diethyl phthalate water  (ug/L)","TRUE",0
"247","Dimethyl phthalate sediment  (ug/Kg)","TRUE",0,"Dimethyl phthalate sediment  (ug/Kg)","TRUE",0,"Dimethyl phthalate sediment  (ug/Kg)","TRUE",0
"248","Dimethyl phthalate water  (ug/L)","TRUE",0,"Dimethyl phthalate water  (ug/L)","TRUE",0,"Dimethyl phthalate water  (ug/L)","TRUE",0
"249","Ethylbenzene water  (ug/L)","TRUE",0,"Ethylbenzene water  (ug/L)","TRUE",0,"Ethylbenzene water  (ug/L)","TRUE",0
"250","Fecal coliform water  (cfu/100mL)","TRUE",0,"Fecal coliform water  (cfu/100mL)","TRUE",0,"Fecal coliform water  (cfu/100mL)","TRUE",0
"251","Fines sediment  (%)","TRUE",0,"Fines sediment  (%)","TRUE",0,"Fines sediment  (%)","TRUE",0
"252","Fluoranthene sediment  (ug/Kg)","TRUE",0,"Fluoranthene sediment  (ug/Kg)","TRUE",0,"Fluoranthene sediment  (ug/Kg)","TRUE",0
"253","Fluoranthene water  (ug/L)","TRUE",0,"Fluoranthene water  (ug/L)","TRUE",0,"Fluoranthene water  (ug/L)","TRUE",0
"254","Fluorene sediment  (ug/Kg)","TRUE",0,"Fluorene sediment  (ug/Kg)","TRUE",0,"Fluorene sediment  (ug/Kg)","TRUE",0
"255","Fluorene water  (ug/L)","TRUE",0,"Fluorene water  (ug/L)","TRUE",0,"Fluorene water  (ug/L)","TRUE",0
"256","Gasoline Range Organics water  (ug/L)","TRUE",0,"Gasoline Range Organics water  (ug/L)","TRUE",0,"Gasoline Range Organics water  (ug/L)","TRUE",0
"257","Gravel sediment  (%)","TRUE",0,"Gravel sediment  (%)","TRUE",0,"Gravel sediment  (%)","TRUE",0
"258","Hardness as CaCO3 water  (ug/L)","TRUE",0,"Hardness as CaCO3 water  (ug/L)","TRUE",0,"Hardness as CaCO3 water  (ug/L)","TRUE",0
"259","Heavy Fuel Oil sediment  (ug/Kg)","TRUE",0,"Heavy Fuel Oil sediment  (ug/Kg)","TRUE",0,"Heavy Fuel Oil sediment  (ug/Kg)","TRUE",0
"260","Heavy Fuel Oil water  (ug/L)","TRUE",0,"Heavy Fuel Oil water  (ug/L)","TRUE",0,"Heavy Fuel Oil water  (ug/L)","TRUE",0
"261","HPAH sediment  (ug/Kg)","TRUE",0,"HPAH sediment  (ug/Kg)","TRUE",0,"HPAH sediment  (ug/Kg)","TRUE",0
"262","HPAH water  (ug/L)","TRUE",0,"HPAH water  (ug/L)","TRUE",0,"HPAH water  (ug/L)","TRUE",0
"263","Indeno(1,2,3-cd)pyrene sediment  (ug/Kg)","TRUE",0,"Indeno(1,2,3-cd)pyrene sediment  (ug/Kg)","TRUE",0,"Indeno(1,2,3-cd)pyrene sediment  (ug/Kg)","TRUE",0
"264","Indeno(1,2,3-cd)pyrene water  (ug/L)","TRUE",0,"Indeno(1,2,3-cd)pyrene water  (ug/L)","TRUE",0,"Indeno(1,2,3-cd)pyrene water  (ug/L)","TRUE",182
"265","Lead sediment  (ug/Kg)","TRUE",0,"Lead sediment  (ug/Kg)","TRUE",0,"Lead sediment  (ug/Kg)","TRUE",0
"266","Lead water  (ug/L)","TRUE",233,"Lead water  (ug/L)","TRUE",563,"Lead water  (ug/L)","TRUE",0
"267","Lead water dissolved (ug/L)","TRUE",2,"Lead water dissolved (ug/L)","TRUE",173,"Lead water dissolved (ug/L)","TRUE",0
"268","LPAH sediment  (ug/Kg)","TRUE",0,"LPAH sediment  (ug/Kg)","TRUE",0,"LPAH sediment  (ug/Kg)","TRUE",0
"269","LPAH water  (ug/L)","TRUE",0,"LPAH water  (ug/L)","TRUE",0,"LPAH water  (ug/L)","TRUE",0
"270","Lube Oil water  (ug/L)","TRUE",0,"Lube Oil water  (ug/L)","TRUE",0,"Lube Oil water  (ug/L)","TRUE",0
"271","Magnesium water  (ug/L)","TRUE",0,"Magnesium water  (ug/L)","TRUE",0,"Magnesium water  (ug/L)","TRUE",0
"272","Magnesium water dissolved (ug/L)","TRUE",0,"Magnesium water dissolved (ug/L)","TRUE",0,"Magnesium water dissolved (ug/L)","TRUE",0
"273","Malathion sediment  (ug/Kg)","TRUE",0,"Malathion sediment  (ug/Kg)","TRUE",0,"Malathion sediment  (ug/Kg)","TRUE",0
"274","Malathion water  (ug/L)","TRUE",0,"Malathion water  (ug/L)","TRUE",0,"Malathion water  (ug/L)","TRUE",0
"275","Mecoprop sediment  (ug/Kg)","TRUE",0,"Mecoprop sediment  (ug/Kg)","TRUE",0,"Mecoprop sediment  (ug/Kg)","TRUE",0
"276","Mecoprop water  (ug/L)","TRUE",0,"Mecoprop water  (ug/L)","TRUE",0,"Mecoprop water  (ug/L)","TRUE",0
"277","Mercury sediment  (ug/Kg)","TRUE",0,"Mercury sediment  (ug/Kg)","TRUE",0,"Mercury sediment  (ug/Kg)","TRUE",0
"278","Mercury water  (ug/L)","TRUE",0,"Mercury water  (ug/L)","TRUE",79,"Mercury water  (ug/L)","TRUE",9
"279","Mercury water dissolved (ug/L)","TRUE",0,"Mercury water dissolved (ug/L)","TRUE",15,"Mercury water dissolved (ug/L)","TRUE",0
"280","Motor Oil sediment  (ug/Kg)","TRUE",0,"Motor Oil sediment  (ug/Kg)","TRUE",0,"Motor Oil sediment  (ug/Kg)","TRUE",0
"281","Motor Oil water  (ug/L)","TRUE",0,"Motor Oil water  (ug/L)","TRUE",0,"Motor Oil water  (ug/L)","TRUE",0
"282","Naphthalene sediment  (ug/Kg)","TRUE",0,"Naphthalene sediment  (ug/Kg)","TRUE",0,"Naphthalene sediment  (ug/Kg)","TRUE",0
"283","Naphthalene water  (ug/L)","TRUE",0,"Naphthalene water  (ug/L)","TRUE",0,"Naphthalene water  (ug/L)","TRUE",0
"284","Nitrite-Nitrate water dissolved (ug/L)","TRUE",0,"Nitrite-Nitrate water dissolved (ug/L)","TRUE",0,"Nitrite-Nitrate water dissolved (ug/L)","TRUE",0
"285","o-Cresol sediment  (ug/Kg)","TRUE",0,"o-Cresol sediment  (ug/Kg)","TRUE",0,"o-Cresol sediment  (ug/Kg)","TRUE",0
"286","Oil and grease water  (ug/L)","TRUE",0,"Oil and grease water  (ug/L)","TRUE",0,"Oil and grease water  (ug/L)","TRUE",0
"287","Ortho-phosphate water dissolved (ug/L)","TRUE",0,"Ortho-phosphate water dissolved (ug/L)","TRUE",0,"Ortho-phosphate water dissolved (ug/L)","TRUE",0
"288","p-Cresol sediment  (ug/Kg)","TRUE",0,"p-Cresol sediment  (ug/Kg)","TRUE",0,"p-Cresol sediment  (ug/Kg)","TRUE",0
"289","p-Cresol water  (ug/L)","TRUE",0,"p-Cresol water  (ug/L)","TRUE",0,"p-Cresol water  (ug/L)","TRUE",0
"290","PCB-aroclor 1016 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1016 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1016 sediment  (ug/Kg)","TRUE",0
"291","PCB-aroclor 1016 water  (ug/L)","TRUE",0,"PCB-aroclor 1016 water  (ug/L)","TRUE",0,"PCB-aroclor 1016 water  (ug/L)","TRUE",0
"292","PCB-aroclor 1221 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1221 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1221 sediment  (ug/Kg)","TRUE",0
"293","PCB-aroclor 1221 water  (ug/L)","TRUE",0,"PCB-aroclor 1221 water  (ug/L)","TRUE",0,"PCB-aroclor 1221 water  (ug/L)","TRUE",0
"294","PCB-aroclor 1232 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1232 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1232 sediment  (ug/Kg)","TRUE",0
"295","PCB-aroclor 1232 water  (ug/L)","TRUE",0,"PCB-aroclor 1232 water  (ug/L)","TRUE",0,"PCB-aroclor 1232 water  (ug/L)","TRUE",0
"296","PCB-aroclor 1242 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1242 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1242 sediment  (ug/Kg)","TRUE",0
"297","PCB-aroclor 1242 water  (ug/L)","TRUE",0,"PCB-aroclor 1242 water  (ug/L)","TRUE",0,"PCB-aroclor 1242 water  (ug/L)","TRUE",0
"298","PCB-aroclor 1248 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1248 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1248 sediment  (ug/Kg)","TRUE",0
"299","PCB-aroclor 1248 water  (ug/L)","TRUE",0,"PCB-aroclor 1248 water  (ug/L)","TRUE",0,"PCB-aroclor 1248 water  (ug/L)","TRUE",0
"300","PCB-aroclor 1254 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1254 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1254 sediment  (ug/Kg)","TRUE",0
"301","PCB-aroclor 1254 water  (ug/L)","TRUE",0,"PCB-aroclor 1254 water  (ug/L)","TRUE",0,"PCB-aroclor 1254 water  (ug/L)","TRUE",0
"302","PCB-aroclor 1260 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1260 sediment  (ug/Kg)","TRUE",0,"PCB-aroclor 1260 sediment  (ug/Kg)","TRUE",0
"303","PCB-aroclor 1260 water  (ug/L)","TRUE",0,"PCB-aroclor 1260 water  (ug/L)","TRUE",0,"PCB-aroclor 1260 water  (ug/L)","TRUE",0
"304","Pentachlorophenol sediment  (ug/Kg)","TRUE",0,"Pentachlorophenol sediment  (ug/Kg)","TRUE",0,"Pentachlorophenol sediment  (ug/Kg)","TRUE",0
"305","Pentachlorophenol water  (ug/L)","TRUE",0,"Pentachlorophenol water  (ug/L)","TRUE",0,"Pentachlorophenol water  (ug/L)","TRUE",0
"306","pH water  (pH)","TRUE",0,"pH water  (pH)","TRUE",0,"pH water  (pH)","TRUE",0
"307","Phenanthrene sediment  (ug/Kg)","TRUE",0,"Phenanthrene sediment  (ug/Kg)","TRUE",0,"Phenanthrene sediment  (ug/Kg)","TRUE",0
"308","Phenanthrene water  (ug/L)","TRUE",0,"Phenanthrene water  (ug/L)","TRUE",0,"Phenanthrene water  (ug/L)","TRUE",0
"309","Phenol sediment  (ug/Kg)","TRUE",0,"Phenol sediment  (ug/Kg)","TRUE",0,"Phenol sediment  (ug/Kg)","TRUE",0
"310","Phenol water  (ug/L)","TRUE",0,"Phenol water  (ug/L)","TRUE",0,"Phenol water  (ug/L)","TRUE",0
"311","Precipitation water  (in)","TRUE",0,"Precipitation water  (in)","TRUE",0,"Precipitation water  (in)","TRUE",0
"312","Prometon sediment  (ug/Kg)","TRUE",0,"Prometon sediment  (ug/Kg)","TRUE",0,"Prometon sediment  (ug/Kg)","TRUE",0
"313","Prometon water  (ug/L)","TRUE",0,"Prometon water  (ug/L)","TRUE",0,"Prometon water  (ug/L)","TRUE",0
"314","Pyrene sediment  (ug/Kg)","TRUE",0,"Pyrene sediment  (ug/Kg)","TRUE",0,"Pyrene sediment  (ug/Kg)","TRUE",0
"315","Pyrene water  (ug/L)","TRUE",0,"Pyrene water  (ug/L)","TRUE",0,"Pyrene water  (ug/L)","TRUE",0
"316","Sampled-Event Flow Volume water  (m3)","TRUE",0,"Sampled-Event Flow Volume water  (m3)","TRUE",0,"Sampled-Event Flow Volume water  (m3)","TRUE",0
"317","Sand sediment  (%)","TRUE",0,"Sand sediment  (%)","TRUE",0,"Sand sediment  (%)","TRUE",0
"318","Solids sediment  (%)","TRUE",0,"Solids sediment  (%)","TRUE",0,"Solids sediment  (%)","TRUE",0
"319","Storm Event Flow Volume water  (m3)","TRUE",0,"Storm Event Flow Volume water  (m3)","TRUE",0,"Storm Event Flow Volume water  (m3)","TRUE",0
"320","Surfactants water  (ug/L)","TRUE",0,"Surfactants water  (ug/L)","TRUE",0,"Surfactants water  (ug/L)","TRUE",0
"321","Toluene water  (ug/L)","TRUE",0,"Toluene water  (ug/L)","TRUE",0,"Toluene water  (ug/L)","TRUE",0
"322","Total Benzofluoranthenes sediment  (ug/Kg)","TRUE",0,"Total Benzofluoranthenes sediment  (ug/Kg)","TRUE",0,"Total Benzofluoranthenes sediment  (ug/Kg)","TRUE",0
"323","Total Benzofluoranthenes water  (ug/L)","TRUE",0,"Total Benzofluoranthenes water  (ug/L)","TRUE",0,"Total Benzofluoranthenes water  (ug/L)","TRUE",0
"324","Total Kjeldahl Nitrogen water  (ug/L)","TRUE",0,"Total Kjeldahl Nitrogen water  (ug/L)","TRUE",0,"Total Kjeldahl Nitrogen water  (ug/L)","TRUE",0
"325","Total Organic Carbon sediment  (%)","TRUE",0,"Total Organic Carbon sediment  (%)","TRUE",0,"Total Organic Carbon sediment  (%)","TRUE",0
"326","Total PAH sediment  (ug/Kg)","TRUE",0,"Total PAH sediment  (ug/Kg)","TRUE",0,"Total PAH sediment  (ug/Kg)","TRUE",0
"327","Total PAH water  (ug/L)","TRUE",0,"Total PAH water  (ug/L)","TRUE",0,"Total PAH water  (ug/L)","TRUE",0
"328","Total PCB sediment  (ug/Kg)","TRUE",0,"Total PCB sediment  (ug/Kg)","TRUE",0,"Total PCB sediment  (ug/Kg)","TRUE",0
"329","Total PCB water  (ug/L)","TRUE",0,"Total PCB water  (ug/L)","TRUE",11,"Total PCB water  (ug/L)","TRUE",0
"330","Total Phosphorus sediment  (ug/Kg)","TRUE",0,"Total Phosphorus sediment  (ug/Kg)","TRUE",0,"Total Phosphorus sediment  (ug/Kg)","TRUE",0
"331","Total Phosphorus water  (ug/L)","TRUE",0,"Total Phosphorus water  (ug/L)","TRUE",0,"Total Phosphorus water  (ug/L)","TRUE",0
"332","Total Phthalate sediment  (ug/Kg)","TRUE",0,"Total Phthalate sediment  (ug/Kg)","TRUE",0,"Total Phthalate sediment  (ug/Kg)","TRUE",0
