"","Var1","Var2","Freq","Var1.1","Var2.1","Freq.1","Var1.2","Var2.2","Freq.2"
"35","Benzofluoranthenes, Total sediment  (ug/Kg)","FALSE",0,"Benzofluoranthenes, Total sediment  (ug/Kg)","FALSE",0,"Benzofluoranthenes, Total sediment  (ug/Kg)","FALSE",0
"36","Benzofluoranthenes, Total water  (ug/L)","FALSE",81,"Benzofluoranthenes, Total water  (ug/L)","FALSE",81,"Benzofluoranthenes, Total water  (ug/L)","FALSE",81
"37","Biochemical Oxygen Demand water  (ug/L)","FALSE",116,"Biochemical Oxygen Demand water  (ug/L)","FALSE",116,"Biochemical Oxygen Demand water  (ug/L)","FALSE",116
"38","Bis(2-ethylhexyl) phthalate sediment  (ug/Kg)","FALSE",4,"Bis(2-ethylhexyl) phthalate sediment  (ug/Kg)","FALSE",4,"Bis(2-ethylhexyl) phthalate sediment  (ug/Kg)","FALSE",4
"39","Bis(2-ethylhexyl) phthalate water  (ug/L)","FALSE",237,"Bis(2-ethylhexyl) phthalate water  (ug/L)","FALSE",237,"Bis(2-ethylhexyl) phthalate water  (ug/L)","FALSE",438
"40","BTEX water  (ug/L)","FALSE",118,"BTEX water  (ug/L)","FALSE",118,"BTEX water  (ug/L)","FALSE",118
"41","Butyl benzyl phthalate sediment  (ug/Kg)","FALSE",25,"Butyl benzyl phthalate sediment  (ug/Kg)","FALSE",25,"Butyl benzyl phthalate sediment  (ug/Kg)","FALSE",25
"42","Butyl benzyl phthalate water  (ug/L)","FALSE",490,"Butyl benzyl phthalate water  (ug/L)","FALSE",490,"Butyl benzyl phthalate water  (ug/L)","FALSE",633
"43","Cadmium sediment  (ug/Kg)","FALSE",8,"Cadmium sediment  (ug/Kg)","FALSE",8,"Cadmium sediment  (ug/Kg)","FALSE",8
"44","Cadmium water  (ug/L)","FALSE",607,"Cadmium water  (ug/L)","FALSE",574,"Cadmium water  (ug/L)","FALSE",170
"45","Cadmium water dissolved (ug/L)","FALSE",633,"Cadmium water dissolved (ug/L)","FALSE",632,"Cadmium water dissolved (ug/L)","FALSE",302
"46","Calcium water  (ug/L)","FALSE",0,"Calcium water  (ug/L)","FALSE",0,"Calcium water  (ug/L)","FALSE",0
"47","Calcium water dissolved (ug/L)","FALSE",0,"Calcium water dissolved (ug/L)","FALSE",0,"Calcium water dissolved (ug/L)","FALSE",0
"48","Chloride water  (ug/L)","FALSE",550,"Chloride water  (ug/L)","FALSE",547,"Chloride water  (ug/L)","FALSE",11
