"","parameter","location","x.NAs","x.count","x.quant.0%","x.quant.25%","x.quant.50%","x.quant.75%","x.quant.100%"
"43","Naphthalene","GM34921",0.000000e+00,3.000000e+01,8.570504e-06,1.857965e-05,4.958313e-05,1.307468e-04,2.303774e-03
"44","Nitrite-Nitrate dissolved","GM34921",0.000000e+00,3.000000e+01,1.503734e-02,3.026647e-02,5.355395e-02,6.191092e-02,9.324800e-02
"45","Pentachlorophenol","GM34921",0.000000e+00,2.900000e+01,7.791368e-06,2.221487e-05,4.210584e-05,7.449230e-05,3.839624e-04
"46","Phenanthrene","GM34921",0.000000e+00,3.000000e+01,1.019643e-05,3.285476e-05,5.719020e-05,1.211866e-04,3.977519e-04
"47","Prometon","GM34921",0.000000e+00,2.900000e+01,6.942147e-07,3.506115e-06,1.105494e-05,2.712420e-05,2.852292e-04
"48","Pyrene","GM34921",0.000000e+00,3.000000e+01,2.330542e-05,5.126030e-05,8.489753e-05,1.307646e-04,6.033694e-04
"49","Surfactants","GM34921",0.000000e+00,3.000000e+01,4.707526e-03,1.290248e-02,1.765623e-02,3.029985e-02,8.034589e-02
"50","Total Benzofluoranthenes","GM34921",0.000000e+00,3.000000e+01,8.225441e-06,5.017295e-05,6.375671e-05,1.582626e-04,8.556875e-04
"51","Total Kjeldahl Nitrogen","GM34921",0.000000e+00,3.000000e+01,1.739728e-02,2.765629e-01,4.338587e-01,6.568425e-01,4.729629e+00
"52","Total PAH","GM34921",0.000000e+00,3.000000e+01,7.642806e-05,2.695100e-04,4.631234e-04,9.770117e-04,4.596578e-03
"53","Total Phosphorus","GM34921",0.000000e+00,3.000000e+01,9.349641e-03,3.954418e-02,5.425678e-02,8.775764e-02,2.724353e-01
"54","Total Phosphorus dissolved","GM34921",0.000000e+00,3.000000e+01,3.895684e-04,1.544517e-03,3.258121e-03,6.183002e-03,4.278438e-02
"55","Total Phthalate","GM34921",0.000000e+00,3.000000e+01,4.487841e-04,7.219497e-04,1.523296e-03,2.416769e-03,5.998099e-03
"56","Total Suspended Solids","GM34921",0.000000e+00,3.000000e+01,5.079972e+00,1.895708e+01,3.491654e+01,5.543062e+01,2.550608e+02
"57","Total TPHDx","GM34921",4.000000e+00,2.100000e+01,1.294502e-01,3.354957e-01,6.672735e-01,1.161436e+00,3.613748e+00
"58","Triclopyr","GM34921",0.000000e+00,3.000000e+01,1.558274e-06,7.664714e-06,1.541680e-05,2.210087e-05,1.638232e-04
"59","Zinc","GM34921",0.000000e+00,3.000000e+01,7.323885e-03,1.532955e-02,3.610422e-02,4.616417e-02,1.084968e-01
"60","Zinc dissolved","GM34921",0.000000e+00,3.000000e+01,1.943801e-03,3.647698e-03,6.444797e-03,8.205463e-03,2.073397e-02
"61","2-Methylnaphthalene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,4.972600e-07,1.534320e-06,3.086315e-06,6.062868e-05
"62","2,4-D","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,4.450000e-06,1.593850e-05,3.275000e-05,1.177655e-04,3.087000e-04
"63","Acenaphthene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,3.228900e-07,6.659900e-07,2.253883e-06,6.112260e-06
"64","Acenaphthylene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,3.228900e-07,7.816100e-07,2.253883e-06,6.112260e-06
"65","Anthracene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,3.228900e-07,6.659900e-07,2.253883e-06,6.112260e-06
"66","Aresenic dissolved","KICCOMS8D_OUT",0.000000e+00,1.000000e+00,1.484280e-04,1.484280e-04,1.484280e-04,1.484280e-04,1.484280e-04
"67","Benz(a)anthracene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,3.228900e-07,7.816100e-07,2.344672e-06,1.629936e-05
"68","Benzo(a)pyrene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,5.033700e-07,1.335975e-06,2.344672e-06,3.022950e-05
"69","Benzo(b)fluoranthene","KICCOMS8D_OUT",0.000000e+00,1.400000e+01,1.250200e-07,8.554000e-07,1.874790e-06,3.305980e-06,6.112260e-06
"70","Benzo(g,h,i)perylene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,2.245267e-06,2.539880e-06,3.744255e-06,3.340134e-05
"71","Benzo(k)fluoranthene","KICCOMS8D_OUT",0.000000e+00,1.400000e+01,1.250200e-07,8.314500e-07,1.865585e-06,3.305980e-06,6.112260e-06
"72","Benzofluoranthenes, Total","KICCOMS8D_OUT",0.000000e+00,1.600000e+01,2.190200e-07,2.702650e-06,4.532900e-06,9.634250e-06,2.038332e-05
"73","Bis(2-ethylhexyl) phthalate","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,3.138800e-05,8.326325e-05,2.000460e-04,5.990985e-04,1.166308e-03
"74","Butyl benzyl phthalate","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.331700e-06,7.481425e-06,2.199630e-05,5.294265e-05,1.778008e-04
"75","Cadmium","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.273800e-06,4.968750e-06,1.059210e-05,3.680745e-05,1.287252e-04
"76","Cadmium dissolved","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,8.512000e-07,1.717500e-06,4.157500e-06,1.109380e-05,4.040000e-05
"77","Calcium","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,5.983000e-02,1.962600e-01,4.487910e-01,1.323165e+00,4.848000e+00
"78","Chloride","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,3.285300e-02,1.549260e-01,4.195840e-01,1.226321e+00,4.444000e+01
"79","Chlorpyrifos","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,2.848000e-07,1.062500e-06,2.102400e-06,7.578050e-06,2.037420e-05
"80","Chrysene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,2.398750e-06,3.923795e-06,8.479980e-06,4.463802e-05
"81","Copper","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,2.433900e-04,7.585350e-04,1.392300e-03,5.301500e-03,1.296540e-02
"82","Copper dissolved","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,6.214600e-05,1.543675e-04,3.060720e-04,1.050236e-03,2.164669e-03
"83","CPAH","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,3.085395e-06,4.840650e-06,9.445098e-06,6.710949e-05
