"","parameter","location","x.NAs","x.count","x.quant.0%","x.quant.25%","x.quant.50%","x.quant.75%","x.quant.100%"
"176","p-Cresol","KICHDRS8D_OUT",0.000000e+00,7.000000e+00,8.272000e-07,8.836000e-07,1.085700e-06,2.940700e-06,3.713000e-06
"177","Pentachlorophenol","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,4.800000e-07,1.771900e-06,3.966800e-06,6.523600e-06,9.306000e-06
"178","Phenanthrene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,3.760000e-08,4.046000e-07,1.175250e-06,6.504160e-06,2.179060e-05
"179","Phenol","KICHDRS8D_OUT",0.000000e+00,7.000000e+00,8.272000e-07,1.927850e-06,3.713000e-06,6.533300e-06,1.343860e-05
"180","Prometon","KICHDRS8D_OUT",0.000000e+00,1.300000e+01,1.880000e-07,1.582700e-06,2.077400e-06,4.060800e-06,4.675000e-05
"181","Pyrene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,2.004000e-07,8.382700e-07,2.655420e-06,8.849625e-06,4.017780e-05
"182","Surfactants","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,1.700000e-04,9.724000e-04,1.528200e-03,2.475000e-03,4.301000e-03
"183","Total Benzofluoranthenes","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.654400e-07,6.052100e-07,2.573375e-06,8.474805e-06,4.906200e-05
"184","Total Kjeldahl Nitrogen","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,4.280000e-03,9.930000e-03,2.347680e-02,8.490000e-02,1.930500e-01
"185","Total PAH","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,6.222800e-07,2.894542e-06,9.921690e-06,5.791940e-05,2.766832e-04
"186","Total Phosphorus","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,4.400000e-04,1.735360e-03,4.781700e-03,1.382400e-02,3.603600e-02
"187","Total Phthalate","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,5.984000e-07,3.889430e-06,1.411023e-05,2.799699e-05,2.610144e-04
"188","Total Suspended Solids","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,1.768000e-02,2.947280e-01,9.003200e-01,5.132160e+00,2.811600e+01
"189","Total TPHDx","KICHDRS8D_OUT",1.600000e+01,3.000000e+01,1.064000e-03,3.790500e-03,6.621500e-03,1.455400e-02,2.158200e-02
"190","Triclopyr","KICHDRS8D_OUT",0.000000e+00,1.400000e+01,2.000000e-06,1.034725e-05,1.940000e-05,3.310000e-05,4.851000e-05
"191","Zinc","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,8.080000e-05,2.318800e-04,4.490180e-04,2.416820e-03,7.454700e-03
"192","Zinc dissolved","KICHDRS8D_OUT",0.000000e+00,2.100000e+01,1.856400e-05,5.722200e-05,1.006360e-04,1.398960e-04,2.963900e-04
"193","2-Methylnaphthalene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,2.000000e-08,1.299550e-07,2.215600e-07,3.783675e-07,2.975400e-06
"194","2,4-D","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,1.078000e-06,6.758500e-06,1.122650e-05,1.966650e-05,1.408000e-04
"195","Acenaphthene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,2.000000e-08,1.299550e-07,2.215600e-07,3.783675e-07,2.975400e-06
"196","Acenaphthylene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,2.000000e-08,1.299550e-07,2.215600e-07,3.783675e-07,2.975400e-06
"197","Anthracene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,2.068000e-08,1.299550e-07,2.215600e-07,3.783675e-07,2.975400e-06
"198","Aresenic dissolved","KICLDRS8D_OUT",0.000000e+00,1.500000e+01,8.800000e-07,3.084000e-06,7.665000e-06,1.897050e-05,2.928640e-04
"199","Benz(a)anthracene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,5.800000e-08,3.988000e-07,9.963600e-07,3.615100e-06,3.429540e-05
"200","Benzo(a)pyrene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,1.149000e-07,7.507200e-07,1.667785e-06,5.899500e-06,4.885920e-05
"201","Benzo(b)fluoranthene","KICLDRS8D_OUT",1.000000e+00,1.600000e+01,1.266000e-07,5.961850e-07,1.520190e-06,1.036170e-05,4.557060e-05
"202","Benzo(g,h,i)perylene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,2.000000e-08,4.646975e-07,1.119355e-06,3.920100e-06,2.041250e-05
"203","Benzo(k)fluoranthene","KICLDRS8D_OUT",1.000000e+00,1.600000e+01,7.320000e-08,3.523700e-07,1.181440e-06,8.632860e-06,3.805380e-05
"204","Benzofluoranthenes, Total","KICLDRS8D_OUT",1.000000e+00,1.200000e+01,2.979000e-07,1.887400e-06,3.402000e-06,1.154810e-05,5.254800e-05
"205","Bis(2-ethylhexyl) phthalate","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,8.840000e-07,5.982375e-06,9.947850e-06,2.692812e-05,1.581660e-03
"206","Butyl benzyl phthalate","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,1.034000e-07,6.497750e-07,1.132000e-06,2.664150e-06,1.633280e-05
"207","Cadmium","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,1.100000e-07,6.662500e-07,1.117800e-06,1.938750e-06,3.942400e-05
"208","Cadmium dissolved","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,1.000000e-07,6.662500e-07,1.090000e-06,1.938750e-06,1.408000e-05
"209","Calcium","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,5.940000e-03,4.502250e-02,1.176120e-01,2.001495e-01,1.472768e+00
"210","Chloride","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,1.624000e-03,1.707350e-02,4.879200e-02,8.374200e-02,1.088075e+00
"211","Chlorpyrifos","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,6.800000e-08,4.396000e-07,7.152000e-07,1.298400e-06,9.574400e-06
"212","Chrysene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,1.092000e-07,1.006923e-06,1.679070e-06,9.299000e-06,4.823280e-05
"213","Copper","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,1.036200e-05,3.168800e-05,6.033800e-05,1.081807e-04,1.664256e-03
"214","Copper dissolved","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,7.800000e-06,2.004000e-05,4.347500e-05,6.788700e-05,2.485000e-04
"215","CPAH","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,1.391200e-07,3.583900e-06,6.492000e-06,2.221823e-05,2.150118e-04
"216","Di-N-Octyl Phthalate","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,5.000000e-08,3.318000e-07,5.440000e-07,9.594000e-07,7.516800e-06
"217","Diazinon","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,8.600000e-08,5.613250e-07,9.163500e-07,1.647375e-06,1.210880e-05
"218","Dibenzo(a,h)anthracene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,2.000000e-08,1.743450e-07,3.776850e-07,9.878250e-07,5.390700e-06
"219","Dibutyl phthalate","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,8.580000e-08,5.465900e-07,1.148445e-06,2.698605e-06,1.592760e-05
"220","Dichlobenil","KICLDRS8D_OUT",2.000000e+00,2.100000e+01,1.410000e-07,7.614000e-07,1.875300e-06,8.410000e-06,1.408000e-05
"221","Diesel Range Organics","KICLDRS8D_OUT",1.400000e+01,2.300000e+01,1.932000e-03,3.154000e-03,4.161000e-03,6.916000e-03,8.607000e-03
"222","Diethyl phthalate","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,2.684000e-07,3.859950e-06,9.481800e-06,1.436445e-05,1.706940e-04
"223","Dimethyl phthalate","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,5.280000e-08,3.767000e-07,9.174000e-07,1.522800e-06,2.693520e-05
"224","Fluoranthene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,2.000000e-08,1.668660e-06,3.343560e-06,1.490905e-05,7.401750e-05
"225","Fluorene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,2.000000e-08,1.299550e-07,2.215600e-07,3.783675e-07,2.975400e-06
"226","Gasoline Range Organics","KICLDRS8D_OUT",1.400000e+01,2.300000e+01,2.300000e-03,3.640000e-03,5.200000e-03,5.700000e-03,1.132500e-02
"227","Hardness as CaCO3","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,2.068000e-02,1.618583e-01,4.262550e-01,6.976200e-01,5.857280e+00
"228","HPAH","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,1.391200e-07,8.204355e-06,1.486126e-05,6.562588e-05,3.764664e-04
"229","Indeno(1,2,3-cd)pyrene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,2.000000e-08,7.008000e-07,1.234000e-06,3.248550e-06,1.881500e-05
"230","Lead","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,3.020000e-06,1.336730e-05,2.551850e-05,8.809800e-05,8.335360e-04
"231","Lead dissolved","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,2.600000e-07,1.340000e-06,2.464000e-06,6.965750e-06,2.816000e-05
"232","LPAH","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,1.330000e-07,5.239700e-07,1.450965e-06,4.981500e-06,2.176740e-05
"233","Lube Oil","KICLDRS8D_OUT",1.400000e+01,2.300000e+01,1.932000e-03,3.154000e-03,4.161000e-03,6.916000e-03,8.607000e-03
"234","Magnesium","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,1.423400e-03,1.197653e-02,3.177850e-02,5.632500e-02,5.294080e-01
"235","Malathion","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,9.600000e-08,6.188250e-07,1.016700e-06,1.831275e-06,1.351680e-05
"236","Mecoprop","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,1.078000e-06,6.758500e-06,1.122650e-05,1.966650e-05,1.408000e-04
"237","Mercury","KICLDRS8D_OUT",0.000000e+00,1.300000e+01,1.000000e-07,6.800000e-07,1.040000e-06,1.140000e-06,7.830000e-06
"238","Mercury dissolved","KICLDRS8D_OUT",0.000000e+00,1.300000e+01,1.000000e-07,6.800000e-07,1.040000e-06,1.140000e-06,7.830000e-06
"239","Naphthalene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,2.068000e-08,1.500150e-07,3.360600e-07,7.510800e-07,4.787200e-06
"240","Nitrite-Nitrate","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,9.702000e-04,7.183600e-03,1.223165e-02,2.607113e-02,3.638750e-01
"241","Ortho-phosphate dissolved","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,1.024160e-04,2.517125e-04,3.942800e-04,1.225822e-03,1.410816e-02
"242","p-Cresol","KICLDRS8D_OUT",0.000000e+00,1.100000e+01,1.000000e-07,7.062000e-07,1.051200e-06,1.158800e-06,1.487700e-05
"243","Pentachlorophenol","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,2.000000e-07,1.733250e-06,2.895300e-06,4.649250e-06,2.975400e-05
"244","Phenanthrene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,8.500000e-08,4.401525e-07,8.304000e-07,4.545900e-06,1.863540e-05
"245","Phenol","KICLDRS8D_OUT",0.000000e+00,1.100000e+01,1.000000e-07,7.062000e-07,1.051200e-06,1.158800e-06,4.416120e-05
"246","Prometon","KICLDRS8D_OUT",2.000000e+00,2.100000e+01,1.410000e-07,7.614000e-07,1.875300e-06,1.200400e-05,5.694000e-05
"247","Pyrene","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,1.391200e-07,1.403237e-06,2.682700e-06,1.153675e-05,9.536940e-05
"248","Surfactants","KICLDRS8D_OUT",2.000000e+00,2.900000e+01,1.000000e-04,6.425000e-04,9.150000e-04,2.307000e-03,1.210880e-02
"249","Total Benzofluoranthenes","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,1.391200e-07,1.513342e-06,2.655410e-06,1.225225e-05,8.362440e-05
"250","Total Kjeldahl Nitrogen","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,9.240000e-04,5.848225e-03,1.043770e-02,1.767367e-02,1.258752e-01
"251","Total PAH","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,8.962000e-07,8.708710e-06,1.610331e-05,7.001919e-05,3.982338e-04
"252","Total Phosphorus","KICLDRS8D_OUT",2.000000e+00,2.900000e+01,2.464000e-04,6.582000e-04,1.066520e-03,3.232290e-03,4.308480e-02
"253","Total Phthalate","KICLDRS8D_OUT",2.000000e+00,2.800000e+01,3.542000e-07,5.687200e-06,1.109894e-05,1.624680e-05,1.976292e-04
"254","Total Suspended Solids","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,1.436000e-02,1.557300e-01,3.132000e-01,8.689125e-01,1.147878e+01
"255","Total TPHDx","KICLDRS8D_OUT",1.400000e+01,2.300000e+01,1.932000e-03,3.154000e-03,4.161000e-03,6.916000e-03,8.607000e-03
"256","Triclopyr","KICLDRS8D_OUT",2.000000e+00,2.100000e+01,1.470000e-06,7.525000e-06,1.128400e-05,2.130000e-05,1.408000e-04
"257","Zinc","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,2.574000e-05,9.357075e-05,2.328770e-04,8.280750e-04,7.715840e-03
"258","Zinc dissolved","KICLDRS8D_OUT",2.000000e+00,3.000000e+01,1.174000e-05,6.095025e-05,1.008000e-04,3.906675e-04,2.188680e-03
"259","2-Methylnaphthalene","LDR010",0.000000e+00,2.400000e+01,1.405771e-06,7.750293e-06,1.716110e-05,3.280766e-05,9.299152e-04
"260","2,4-D","LDR010",0.000000e+00,2.400000e+01,3.784767e-06,1.831608e-05,3.347410e-05,6.911616e-05,1.756447e-03
"261","Acenaphthene","LDR010",0.000000e+00,2.400000e+01,1.405771e-06,7.683455e-06,1.655808e-05,3.159257e-05,9.299152e-04
"262","Acenaphthylene","LDR010",0.000000e+00,2.400000e+01,8.110215e-07,5.681759e-06,1.163016e-05,1.822648e-05,9.299152e-04
"263","Anthracene","LDR010",0.000000e+00,2.400000e+01,1.297634e-06,7.549780e-06,1.537987e-05,2.916237e-05,9.299152e-04
"264","Benz(a)anthracene","LDR010",0.000000e+00,2.400000e+01,1.622043e-06,6.818111e-06,1.308107e-05,2.654268e-05,9.299152e-04
"265","Benzo(a)pyrene","LDR010",0.000000e+00,2.400000e+01,1.676111e-06,8.228427e-06,1.957318e-05,3.766806e-05,9.299152e-04
"266","Benzo(b)fluoranthene","LDR010",0.000000e+00,2.400000e+01,9.191577e-07,6.439327e-06,1.269794e-05,2.065668e-05,9.299152e-04
"267","Benzo(g,h,i)perylene","LDR010",0.000000e+00,2.400000e+01,1.027294e-06,7.196895e-06,1.346421e-05,2.308687e-05,9.299152e-04
"268","Benzo(k)fluoranthene","LDR010",0.000000e+00,2.400000e+01,1.297634e-06,7.549780e-06,1.537987e-05,2.916237e-05,9.299152e-04
"269","Bis(2-ethylhexyl) phthalate","LDR010",0.000000e+00,2.400000e+01,1.268411e-05,5.757062e-05,1.163559e-04,4.221673e-04,4.649576e-03
"270","Butyl benzyl phthalate","LDR010",0.000000e+00,2.400000e+01,2.856066e-06,9.376264e-06,1.893573e-05,6.018286e-05,6.450924e-04
"271","Cadmium","LDR010",0.000000e+00,2.400000e+01,1.109860e-06,4.549853e-06,1.131063e-05,3.180936e-05,1.115898e-04
"272","Cadmium dissolved","LDR010",0.000000e+00,2.400000e+01,6.738436e-07,2.158372e-06,3.569978e-06,1.993187e-05,6.137440e-05
"273","Chloride","LDR010",0.000000e+00,2.400000e+01,1.000260e+00,2.147633e+00,3.715921e+00,6.206271e+00,3.418990e+01
"274","Chlorpyrifos","LDR010",0.000000e+00,2.400000e+01,1.946452e-06,9.724459e-06,2.229214e-05,4.474973e-05,9.353840e-04
"275","Chrysene","LDR010",0.000000e+00,2.400000e+01,1.513907e-06,7.817130e-06,1.776412e-05,3.402276e-05,9.299152e-04
"276","Copper","LDR010",0.000000e+00,2.400000e+01,1.185172e-04,9.908050e-04,1.798129e-03,4.563845e-03,1.090206e-02
"277","Copper dissolved","LDR010",0.000000e+00,2.400000e+01,1.315977e-04,7.223884e-04,1.267616e-03,3.185095e-03,7.386308e-03
"278","CPAH","LDR010",0.000000e+00,3.000000e+01,1.622043e-06,7.928720e-06,1.499824e-05,3.203381e-05,9.299152e-04
"279","Di-N-Octyl Phthalate","LDR010",0.000000e+00,2.400000e+01,9.732258e-07,6.818111e-06,1.308107e-05,2.187178e-05,6.450924e-04
"280","Diazinon","LDR010",0.000000e+00,2.400000e+01,1.351702e-06,7.653283e-06,1.707468e-05,3.125458e-05,9.353840e-04
"281","Dibenzo(a,h)anthracene","LDR010",0.000000e+00,2.400000e+01,9.191577e-07,6.439327e-06,1.269794e-05,2.065668e-05,9.299152e-04
"282","Dibutyl phthalate","LDR010",0.000000e+00,2.400000e+01,1.625152e-06,1.054758e-05,1.883203e-05,4.286319e-05,1.354694e-04
"283","Dichlobenil","LDR010",0.000000e+00,2.400000e+01,3.784767e-07,2.651487e-06,5.910859e-06,3.322588e-05,3.225462e-04
"284","Diesel Range Organics","LDR010",6.000000e+00,1.800000e+01,7.531193e-04,7.121761e-03,2.243739e-02,4.661636e-02,2.741643e-01
"285","Diethyl phthalate","LDR010",0.000000e+00,2.400000e+01,2.703405e-06,1.098030e-05,2.389012e-05,6.718157e-05,5.393508e-03
"286","Dimethyl phthalate","LDR010",0.000000e+00,2.400000e+01,2.703405e-06,1.221055e-05,2.015595e-05,4.597954e-05,3.719661e-04
"287","Fluoranthene","LDR010",0.000000e+00,2.400000e+01,1.081362e-06,7.282430e-06,1.384734e-05,2.430197e-05,9.299152e-04
"288","Fluorene","LDR010",0.000000e+00,2.400000e+01,1.459839e-06,7.750293e-06,1.716110e-05,3.280766e-05,9.299152e-04
"289","Gasoline Range Organics","LDR010",6.000000e+00,1.800000e+01,7.028853e-04,8.798176e-03,1.444441e-02,1.100400e-01,8.063655e-01
"290","Hardness as CaCO3","LDR010",0.000000e+00,2.400000e+01,1.686925e+00,7.086245e+00,1.264512e+01,2.201253e+01,7.321799e+01
"291","Heavy Fuel Oil","LDR010",6.000000e+00,1.800000e+01,1.426963e-03,1.549207e-02,4.349483e-02,1.173189e-01,5.805831e-01
"292","HPAH","LDR010",0.000000e+00,3.000000e+01,2.919677e-06,7.928720e-06,1.650811e-05,2.921718e-05,9.299152e-04
"293","Indeno(1,2,3-cd)pyrene","LDR010",0.000000e+00,2.400000e+01,1.135430e-06,7.349267e-06,1.423047e-05,2.551707e-05,9.299152e-04
"294","Lead","LDR010",0.000000e+00,2.400000e+01,1.906581e-05,1.759132e-04,3.491890e-04,9.433673e-04,3.806045e-03
"295","Lead dissolved","LDR010",0.000000e+00,2.400000e+01,2.102789e-06,1.244383e-05,1.717505e-05,3.981243e-05,1.677240e-04
"296","LPAH","LDR010",0.000000e+00,3.000000e+01,1.243566e-06,6.926868e-06,2.332662e-05,3.225421e-05,9.299152e-04
"297","Malathion","LDR010",0.000000e+00,2.400000e+01,9.191577e-07,6.461820e-06,1.308856e-05,2.122101e-05,9.353840e-04
"298","Mecoprop","LDR010",0.000000e+00,2.400000e+01,1.081362e-06,5.363145e-06,1.163246e-05,3.411742e-05,3.225462e-04
"299","Mercury","LDR010",0.000000e+00,3.000000e+00,5.347005e-06,6.518086e-05,1.250147e-04,2.484904e-04,3.719661e-04
"300","Mercury dissolved","LDR010",0.000000e+00,3.000000e+00,5.347005e-06,6.518086e-05,1.250147e-04,2.484904e-04,3.719661e-04
"301","Naphthalene","LDR010",0.000000e+00,2.400000e+01,1.189498e-06,8.718222e-06,2.332662e-05,6.155425e-05,9.299152e-04
"302","Nitrite-Nitrate dissolved","LDR010",0.000000e+00,2.400000e+01,4.399802e-03,2.241034e-02,3.094616e-02,5.471696e-02,4.709174e-01
"303","Pentachlorophenol","LDR010",0.000000e+00,2.300000e+01,1.081362e-06,5.776599e-06,2.101659e-05,6.871353e-05,6.450924e-04
"304","Phenanthrene","LDR010",0.000000e+00,2.400000e+01,1.243566e-06,7.416105e-06,1.461361e-05,2.673217e-05,9.299152e-04
"305","Prometon","LDR010",0.000000e+00,2.400000e+01,2.703405e-07,2.055205e-06,4.222042e-06,9.601441e-06,1.612731e-04
"306","Pyrene","LDR010",0.000000e+00,2.400000e+01,1.297634e-06,7.215592e-06,1.379817e-05,2.551707e-05,9.299152e-04
"307","Surfactants","LDR010",0.000000e+00,2.400000e+01,2.703405e-03,1.264465e-02,2.808359e-02,5.759680e-02,1.785437e-01
"308","Total Benzofluoranthenes","LDR010",0.000000e+00,3.000000e+01,1.297634e-06,6.109200e-06,1.212162e-05,2.764646e-05,9.299152e-04
"309","Total Kjeldahl Nitrogen","LDR010",0.000000e+00,2.400000e+01,3.725959e-02,2.393713e-01,3.257137e-01,1.035385e+00,6.806979e+00
"310","Total PAH","LDR010",0.000000e+00,3.000000e+01,2.061169e-06,8.768592e-06,2.530345e-05,5.459391e-05,9.299152e-04
"311","Total Phosphorus","LDR010",0.000000e+00,2.400000e+01,5.707851e-03,2.601050e-02,5.795982e-02,1.533388e-01,5.805831e-01
"312","Total Phosphorus dissolved","LDR010",0.000000e+00,2.400000e+01,4.756543e-03,1.092290e-02,1.729386e-02,2.701574e-02,3.548008e-01
"313","Total Phthalate","LDR010",0.000000e+00,3.000000e+01,7.978227e-06,4.573860e-05,9.278602e-05,4.805200e-04,9.773150e-04
"314","Total Suspended Solids","LDR010",0.000000e+00,2.400000e+01,3.210666e-01,5.213078e+00,1.025282e+01,2.503830e+01,1.281418e+02
"315","Total TPHDx","LDR010",6.000000e+00,1.900000e+01,2.180082e-03,2.687506e-02,8.122428e-02,1.807427e-01,5.805831e-01
"316","Triclopyr","LDR010",0.000000e+00,2.400000e+01,2.703405e-06,1.264465e-05,3.428867e-05,6.432117e-05,4.386628e-03
"317","Zinc","LDR010",0.000000e+00,2.400000e+01,4.241251e-04,1.459452e-03,3.488507e-03,1.047234e-02,3.083542e-02
"318","Zinc dissolved","LDR010",0.000000e+00,2.400000e+01,1.713959e-04,5.934720e-04,1.223050e-03,2.824470e-03,1.454387e-02
"319","2-Methylnaphthalene","MH5171",1.000000e+00,2.800000e+01,1.171426e-06,1.071880e-05,1.994105e-05,4.837039e-05,8.474496e-04
"320","2,4-D","MH5171",1.000000e+00,2.800000e+01,1.522708e-05,4.971013e-05,1.964814e-04,3.430315e-04,2.033879e-03
"321","Acenaphthene","MH5171",1.000000e+00,2.800000e+01,1.171426e-06,1.071880e-05,1.994105e-05,4.669649e-05,8.474496e-04
"322","Acenaphthylene","MH5171",1.000000e+00,2.800000e+01,6.758229e-07,7.737726e-06,1.150445e-05,2.717178e-05,8.474496e-04
"323","Anthracene","MH5171",1.000000e+00,2.800000e+01,1.081317e-06,9.894275e-06,1.840712e-05,4.330288e-05,8.474496e-04
"324","Benz(a)anthracene","MH5171",1.000000e+00,2.800000e+01,8.109875e-07,9.484517e-06,1.547394e-05,5.180980e-05,8.474496e-04
"325","Benzo(a)pyrene","MH5171",1.000000e+00,2.800000e+01,1.396701e-06,1.278011e-05,2.377586e-05,5.687732e-05,8.474496e-04
"326","Benzo(b)fluoranthene","MH5171",1.000000e+00,2.800000e+01,7.659326e-07,7.008445e-06,1.303838e-05,6.271308e-05,8.474496e-04
"327","Benzo(g,h,i)perylene","MH5171",1.000000e+00,2.800000e+01,8.560423e-07,9.646738e-06,1.664459e-05,4.827879e-05,8.474496e-04
"328","Benzo(k)fluoranthene","MH5171",1.000000e+00,2.800000e+01,1.081317e-06,9.894275e-06,1.840712e-05,4.330288e-05,8.474496e-04
"329","Bis(2-ethylhexyl) phthalate","MH5171",1.000000e+00,2.800000e+01,5.857132e-05,2.975241e-04,5.511616e-04,1.197230e-03,4.237248e-03
"330","Butyl benzyl phthalate","MH5171",1.000000e+00,2.800000e+01,8.109875e-07,2.943529e-05,8.055439e-05,1.476657e-04,1.080797e-03
"331","Cadmium","MH5171",1.000000e+00,2.800000e+01,5.226364e-06,1.337813e-05,2.663414e-05,5.212053e-05,2.644043e-04
"332","Cadmium dissolved","MH5171",1.000000e+00,2.800000e+01,3.915534e-06,7.426804e-06,1.227141e-05,2.241605e-05,8.813476e-05
"333","Chloride","MH5171",1.000000e+00,2.800000e+01,1.661432e-01,4.816848e-01,8.885266e-01,1.156022e+00,2.177404e+00
"334","Chlorpyrifos","MH5171",1.000000e+00,2.800000e+01,1.621975e-06,1.361385e-05,2.599482e-05,5.583654e-05,3.389798e-04
"335","Chrysene","MH5171",1.000000e+00,2.800000e+01,1.261536e-06,1.311287e-05,2.183375e-05,5.429776e-05,8.474496e-04
"336","Copper","MH5171",1.000000e+00,2.800000e+01,6.983503e-04,2.364525e-03,4.266687e-03,6.497393e-03,3.275317e-02
"337","Copper dissolved","MH5171",1.000000e+00,2.800000e+01,5.597503e-04,1.534226e-03,2.505304e-03,3.786767e-03,7.898230e-03
"338","CPAH","MH5171",1.000000e+00,2.800000e+01,1.396701e-06,1.398848e-05,2.417308e-05,1.177762e-04,8.474496e-04
"339","Di-N-Octyl Phthalate","MH5171",1.000000e+00,2.800000e+01,8.109875e-07,1.433469e-05,4.235265e-05,8.958529e-05,5.157979e-04
"340","Diazinon","MH5171",1.000000e+00,2.800000e+01,1.126372e-06,9.465860e-06,1.805196e-05,3.904168e-05,2.372859e-04
"341","Dibenzo(a,h)anthracene","MH5171",1.000000e+00,2.800000e+01,7.659326e-07,7.008445e-06,1.303838e-05,3.056539e-05,8.474496e-04
"342","Dibutyl phthalate","MH5171",1.000000e+00,2.800000e+01,1.036262e-06,2.960352e-05,4.366252e-05,7.006882e-05,3.814579e-04
"343","Dichlobenil","MH5171",1.000000e+00,2.800000e+01,3.153840e-06,2.589093e-05,5.618421e-05,1.877804e-04,7.175143e-04
"344","Diesel Range Organics","MH5171",4.000000e+00,1.800000e+01,9.456098e-03,4.445230e-02,1.393446e-01,2.053391e-01,5.675026e-01
"345","Diethyl phthalate","MH5171",1.000000e+00,2.800000e+01,8.371633e-06,2.466351e-05,2.963152e-05,8.198140e-05,4.915208e-03
"346","Dimethyl phthalate","MH5171",1.000000e+00,2.800000e+01,3.153840e-06,1.979044e-05,3.353040e-05,4.830615e-05,2.542349e-04
"347","Fluoranthene","MH5171",1.000000e+00,2.800000e+01,9.010972e-07,1.202249e-05,2.190078e-05,6.275888e-05,8.474496e-04
"348","Fluorene","MH5171",1.000000e+00,2.800000e+01,1.216481e-06,1.113106e-05,2.070801e-05,4.923024e-05,8.474496e-04
"349","Gasoline Range Organics","MH5171",4.000000e+00,1.800000e+01,4.352153e-03,7.249337e-03,1.141244e-02,2.235616e-02,4.237248e-01
"350","Hardness as CaCO3","MH5171",1.000000e+00,2.800000e+01,2.478017e+00,4.946811e+00,8.059487e+00,1.241848e+01,2.305063e+01
"351","Heavy Fuel Oil","MH5171",4.000000e+00,1.800000e+01,1.557475e-02,8.124395e-02,2.455177e-01,3.493318e-01,1.186596e+00
"352","HPAH","MH5171",1.000000e+00,2.800000e+01,1.396701e-06,1.910275e-05,5.126757e-05,1.860277e-04,8.474496e-04
"353","Indeno(1,2,3-cd)pyrene","MH5171",1.000000e+00,2.800000e+01,9.461521e-07,8.657491e-06,1.610623e-05,4.072332e-05,8.474496e-04
"354","Lead","MH5171",1.000000e+00,2.800000e+01,7.704381e-05,3.440745e-04,7.530619e-04,1.419007e-03,1.256336e-02
"355","Lead dissolved","MH5171",1.000000e+00,2.800000e+01,6.743419e-06,2.205470e-05,3.741776e-05,8.763819e-05,9.538453e-04
"356","LPAH","MH5171",1.000000e+00,2.800000e+01,1.216481e-06,2.112527e-05,3.297130e-05,6.421151e-05,8.474496e-04
