"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.25ile","KM.median","KM.75ile","KM.90ile","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS.mean","ROS.25ile","ROS.median","ROS.75ile","ROS.90ile","ROS.SD","ROS_correlation","PPCC_test","wilcoxon_pvalue"
"43","dry   Hardness as CaCO3","A",0,127,127,0,0.014805,3884.98126592,NA,NA,163.325656352673,51.3187008896499,62.7428508755758,263.90846182977,0.638243681919448,4.80969343039942,32.6489872319989,148.484804159999,578.332387772958,0.000159844300500533,20.1258910507986,3,NA,NA,NA,NA,NA,NA,0.993690583380127,NA,NA
"44","dry   Heavy Fuel Oil","A",2.9,34,33,1,0.006860594304,1.07037504,0.0480252928,0.0480252928,0.268751753698882,0.0520689660334914,0.166698455561,0.370805051836765,0.0529892278399999,0.1217905568,0.432258981858,0.749262528,0.303611636155622,0.00310423700282703,13.8584913001663,3,NA,NA,NA,NA,NA,NA,0.991947743472802,NA,NA
"45","dry   HPAH","A",41.6,125,73,52,7.632e-07,0.0088480938624,3.29e-07,0.004676927282,0.000479046730231271,0.000114201711478706,0.000255215488760174,0.000702877971702369,7.63200000000047e-07,2.03465200000006e-05,0.0002712466272,0.0012140828,0.00127681395006602,0.0109135344431921,11.1556062651124,3,NA,NA,NA,NA,NA,NA,0.977783712857185,NA,NA
"46","dry   Indeno(1,2,3-cd)pyrene","B",70.4,125,37,88,9.78e-08,0.00054449808384,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32050798622491e-05,4.05591968215285e-07,7.05152675012166e-07,3.3218494712e-06,9.29760324030001e-05,9.30022717797255e-05,0.966617411832258,NA,NA
"47","dry   Lead","A",2.4,125,122,3,2.5768288e-06,1.171564663004,6.796032e-06,7.928704e-06,0.0526165440615841,0.0157386874010253,0.0217692835916402,0.0834638045315279,0.000163529519999761,0.00132522623999987,0.00831602968649969,0.0795077637939998,0.17596387452656,0.00415396071518581,13.2355395118247,3,NA,NA,NA,NA,NA,NA,0.995037944008735,NA,NA
"48","dry   Lead dissolved","A",7.4,121,112,9,2.6e-07,0.0431505242943,1.3592064e-06,0.0002002111027,0.00253445346690648,0.000631578478979475,0.00129658239469612,0.00377232453911684,1.19406282239887e-05,4.61450572799976e-05,0.000627624881999994,0.00818483228767999,0.00694736326877422,0.00252728261347157,14.2972113007873,3,NA,NA,NA,NA,NA,NA,0.982274929010591,NA,NA
"49","dry   LPAH","A",44.8,125,69,56,1.33e-07,0.0037939270175,3.85e-07,0.002338463641,0.000146649693412089,4.32871792796394e-05,6.18083810316676e-05,0.000231491005792511,1.21855999999938e-06,8.26499999999949e-06,3.73739588969994e-05,0.000361922684159999,0.000483965377117471,0.0446165676783157,8.06852297576799,3,NA,NA,NA,NA,NA,NA,0.99219029052615,NA,NA
"50","dry   Lube Oil","C",100,4,0,4,NA,NA,0.002318,0.01501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","dry   Magnesium","A",0,73,73,0,0.00176,22.1968740752,NA,NA,1.48815204159174,0.401632113779159,0.700967563549896,2.27533651963359,0.0121557226359954,0.147473894400001,0.883365229439995,5.00495135895,3.43154628436893,1.79870722372133e-06,29.4528348113175,3,NA,NA,NA,NA,NA,NA,0.98277088463021,NA,NA
"52","dry   Magnesium dissolved","A",0,2,2,0,0.0094206850429,0.0113858766273,NA,NA,0.0104032808351,0.0009825957922,0.00847742847102739,0.0123291331991726,0.0094206850429,NA,NA,NA,0.00138960029565998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","dry   Malathion","C",97.5,122,3,119,1.57826799648e-05,0.000174222774146,9.6e-08,0.003035141614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","dry   Mecoprop","C",80.9,115,22,93,3.8556e-06,0.037939270175,2.1228538624e-07,0.94825884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","dry   Mercury","B",63.7,91,33,58,3.85e-08,0.000342368009659,5.307134656e-08,0.007587854035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.075545228686e-05,1.96572296613411e-07,3.41848400415816e-07,1.23975e-06,6.73336805518e-05,5.99646161481762e-05,0.96722551605645,NA,NA
"56","dry   Mercury dissolved","C",86.5,89,12,77,4.096e-08,0.00020388096,5.307134656e-08,0.007587854035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","dry   Motor Oil","A",4.3,23,22,1,0.00461013361408,11.473825776,0.00511401408,0.00511401408,1.3673535520059,0.598895470770281,0.193539998791984,2.54116710521981,0.0179296908880602,0.0433747681039627,1.07099800959996,5.04492108799996,2.87220177788933,0.0932046323743014,4.7459157098777,2,NA,NA,NA,NA,NA,NA,0.965704905963332,NA,NA
"58","dry   Naphthalene","B",68,125,40,85,2.6e-08,0.0021245991298,2.82e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48977638923103e-05,2.3450614018989e-07,5.25712702332877e-07,3.467687327475e-06,9.45704664780001e-05,0.000253398160950375,0.992995048928309,NA,NA
"59","dry   Nitrite-Nitrate dissolved","A",5.4,112,106,6,0.00045514895205,79.8242244482,0.00155233688688,0.00523558942912,3.98917577998348,1.27639492545049,1.48748769605082,6.49086386391613,0.017363861759975,0.0672354099199737,0.509226677759969,1.88386007039998,13.5080941897873,0.056686673597401,7.5341808452919,3,NA,NA,NA,NA,NA,NA,0.987242867843855,NA,NA
"60","dry   Oil and grease","C",100,7,0,7,NA,NA,0.001645,0.041325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","dry   Ortho-phosphate dissolved","A",10,110,99,11,3.7149942592e-05,1.9728420491,3.4538567296e-05,0.018707709128,0.100214133005033,0.0285380547666452,0.0442805734735767,0.156147692536489,0.000689797248001778,0.00477436255830188,0.0306399102720021,0.368237330560002,0.299309643488219,0.0119797176102394,10.9535501191097,3,NA,NA,NA,NA,NA,NA,0.995559922797945,NA,NA
"62","dry   p-Cresol","C",100,5,0,5,NA,NA,1e-07,1.1405e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","dry   PCB-aroclor 1016","C",100,6,0,6,NA,NA,4.50095536e-07,6.74930928e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","dry   PCB-aroclor 1221","C",100,6,0,6,NA,NA,4.50095536e-07,6.74930928e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","dry   PCB-aroclor 1232","C",100,6,0,6,NA,NA,4.50095536e-07,6.74930928e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","dry   PCB-aroclor 1242","C",100,6,0,6,NA,NA,4.50095536e-07,6.74930928e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","dry   PCB-aroclor 1248","C",100,6,0,6,NA,NA,4.50095536e-07,6.74930928e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","dry   PCB-aroclor 1254","A",33.3,6,4,2,1.569062205e-05,0.00014848480416,4.50095536e-07,3.275517523e-06,5.59970364501667e-05,2.53608108868984e-05,6.29076049311456e-06,0.000105703312407219,NA,1.569062205e-05,0.000112246254768,NA,6.21210461361215e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","dry   PCB-aroclor 1260","C",83.3,6,1,5,1.483120717e-05,1.483120717e-05,4.50095536e-07,6.74930928e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","dry   Pentachlorophenol","B",74.1,116,30,86,1.182e-06,0.0112300239718,2e-07,0.0265442815872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00021996022099116,8.39230873877033e-07,1.74973438565158e-06,2.65661e-06,2.59999505721e-05,0.00142605152742509,0.958387375161097,NA,NA
"71","dry   Phenanthrene","B",52,125,60,65,8.5e-08,0.0016693278877,3.85e-07,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04052520512713e-05,1.18025410460399e-06,2.84390998127312e-06,1.806640075795e-05,0.000186856387336,0.000230564282651107,0.994071317915483,NA,NA
"72","dry   Phenol","C",100,5,0,5,NA,NA,1e-07,1.1405e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","dry   Prometon","C",94,117,7,110,2.14496361984e-06,0.00377745545664,8.2034902272e-08,0.010622995649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","dry   Pyrene","A",46.4,125,67,58,2.42e-07,0.0021245991298,3.29e-07,0.002338463641,0.000116822180478489,3.00070859507842e-05,5.80093727339537e-05,0.000175634988223023,2.75699999999907e-07,8.45299999999985e-06,4.06100290319998e-05,0.00032628655774,0.000335489419963162,0.0319159296279418,8.81074230799511,3,NA,NA,NA,NA,NA,NA,0.993897100358192,NA,NA
"75","dry   Surfactants","A",29.6,115,81,34,0.00029189240608,8.11604625741,8.54530232e-05,0.05804944,0.314042541807373,0.111405980120973,0.0956908331078812,0.532394250506866,0.000928791039999766,0.00633419999999951,0.0478955169029991,0.33835998833,1.19469603948962,6.53447663248041e-05,21.996366803062,3,NA,NA,NA,NA,NA,NA,0.994799081317168,NA,NA
"76","dry   Toluene","C",100,24,0,24,NA,NA,9.91088e-06,0.0023219776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","dry   Total Benzofluoranthenes","B",67.2,125,41,84,1.998e-07,0.001701556512,3.29e-07,0.004676927282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25676680801031e-05,7.72381555215404e-07,1.68774461884164e-06,1.8324318162e-05,0.00019343717198046,0.000229517696311762,0.979047584844389,NA,NA
"78","dry   Total Kjeldahl Nitrogen","A",6.1,114,107,7,0.001054,110.782668911,0.0049271232,0.817457753,4.59177963162578,1.47725264657731,1.69641764826777,7.48714161498379,0.0356791679999731,0.232818407621977,1.19190686624898,8.90908824959999,15.7727421055263,0.00652179220642923,12.2671723611468,3,NA,NA,NA,NA,NA,NA,0.994389791946416,NA,NA
"79","dry   Total PAH","A",36,125,80,45,5.7783e-07,0.01000515229056,3.85e-07,0.004676927282,0.000621410939004862,0.000143931214745608,0.000339310941852371,0.000903510936157354,1.61567999999723e-06,2.99039099999968e-05,0.000304787876799996,0.0015294866454,0.0016091999012765,0.00909957824194862,11.5488982586443,3,NA,NA,NA,NA,NA,NA,0.983830879587978,NA,NA
"80","dry   Total PCB","A",33.3,6,4,2,1.569062205e-05,0.00014848480416,4.50095536e-07,3.275517523e-06,5.84689043118334e-05,2.48877272943698e-05,9.68985515781401e-06,0.000107247953465853,NA,1.569062205e-05,0.000112246254768,NA,6.09622327287438e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","dry   Total Phosphorus","A",0,114,114,0,0.0001858,14.2651655858,NA,NA,0.635477528458199,0.19797732509077,0.247449101524713,1.02350595539169,0.00481602223519673,0.0336177049599939,0.134642985983994,1.349861856,2.11381939212199,0.00864445138900272,11.6597424916221,3,NA,NA,NA,NA,NA,NA,0.992851912778721,NA,NA
"82","dry   Total Phthalate","A",29.6,125,88,37,1.658e-06,0.0710223137676,2.05579968e-05,0.0251830363776,0.0033616332096707,0.000926192044399026,0.00154633015988109,0.00517693625946031,1.73876478719998e-05,0.000180140154880007,0.0012140828,0.007415603585,0.0103551418574786,0.0022079415252948,14.5849972228674,3,NA,NA,NA,NA,NA,NA,0.99166465942121,NA,NA
"83","dry   Total Suspended Solids","A",0,116,116,0,0.01436,7815.48965605,NA,NA,267.440415412864,98.1948560206218,74.9820341453496,459.898796680379,0.703407434799374,8.3589749442981,40.0722363519981,331.391085647998,1057.59096576778,0.0796443664652423,6.76877877282186,3,NA,NA,NA,NA,NA,NA,0.99440285301441,NA,NA
"84","dry   Total TPHDx","A",16,75,63,12,0.0029661281664,16.0633560864,0.000329,0.0480252928,0.971673408519143,0.283266900730381,0.416480485075314,1.52686633196297,0.0294574007039969,0.151814859839998,0.699991295999997,1.73298816,2.45316332083795,0.110084991857483,6.0315563700277,3,NA,NA,NA,NA,NA,NA,0.989590897991576,NA,NA
