"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.median","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS_correlation","PPCC_test","MLE.mean","MLE.mean.SE","MLE.mean.95LCL","MLE.mean.95UCL","MLE.median","MLE.SD"
"22","Calcium water  (ug/L)","A",0,341,341,0,0.00594,295.1452135296,NA,NA,11.4632687024177,1.47694394707996,8.56851175895652,14.3580256458788,0.670081053030003,27.27352062313,3.5550861242171e-33,154.032297307297,3,0.983507004767384,NA,NA,NA,NA,NA,NA,NA
"23","Calcium water dissolved (ug/L)","A",0,2,2,0,0.075973266475,0.0889182746132,NA,NA,0.0824457705441,0.0064725040691,0.069759895678875,0.0951316454093249,NA,0.00915350303703627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Chloride water  (ug/L)","A",2,537,526,11,0.001054,805.43393,0.00341500608,0.2690096,23.7252007748028,3.19654472586706,17.4600882371319,29.9903133124737,1.18536390144004,74.0743634806239,3.99851263210849e-11,51.4111262707849,3,0.995010194242276,NA,NA,NA,NA,NA,NA,NA
"25","Chlorpyrifos water  (ug/L)","C",99.8,605,1,604,1.28599614528e-05,1.28599614528e-05,5.16e-08,0.005212556544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Chrysene water  (ug/L)","B",53.4,616,287,329,1.092e-07,0.0035580172474,1.1468e-07,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991698035702161,NA,0.000280855527146953,0.000549392502595286,0.000172756039871378,0.000456596638749772,5.78363345084759e-06,0.0136355633215234
"27","Copper water  (ug/L)","A",0.5,613,610,3,6.1705e-06,1.420370688,6.796032e-06,7.928704e-06,0.0665369526826234,0.00752667636605904,0.0517849380818588,0.0812889672833879,0.00337704033039987,0.18635175184094,3.54236439540947e-15,70.3780990130394,3,0.994845204197639,NA,NA,NA,NA,NA,NA,NA
"28","Copper water dissolved (ug/L)","A",2.6,587,572,15,4.429e-06,1.28418783459,6.796032e-06,0.178766940732,0.0205605135072199,0.00311919569124369,0.0144470022916498,0.0266740247227901,0.00131505880982985,0.0755721317238066,7.62944851739888e-09,40.6842209974081,3,0.995482442771644,NA,NA,NA,NA,NA,NA,NA
"29","CPAH water  (ug/L)","A",48.5,619,319,300,2.552e-07,0.01226982801408,1.2502e-07,0.002338463641,0.000327956303218838,4.69145002637942e-05,0.000236005572349106,0.000419907034088569,1.14283773120019e-05,0.00116721918994076,6.77431416518104e-08,36.2058369921215,3,0.991006245848255,NA,NA,NA,NA,NA,NA,NA
"30","Di-N-Octyl Phthalate water  (ug/L)","C",88.6,614,70,544,4.2908e-07,0.00652286549376,5e-08,0.035804165822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Diazinon water  (ug/L)","C",99,605,6,599,1.10370843e-05,0.00023728589248,5.16e-08,0.005212556544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Dibenzo(a,h)anthracene water  (ug/L)","C",86,616,86,530,4.554e-08,0.003486364416,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Dibutyl phthalate water  (ug/L)","B",67.8,615,198,417,8.58e-08,0.046312450975,2.541e-07,0.0447683388065,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992714119032574,NA,0.00294727586970843,0.0501820182466115,0.00142180348371194,0.00610944842355264,6.97998801601407e-06,1.24447358248839
"34","Dichlobenil water  (ug/L)","B",63.3,572,210,362,1.595e-07,0.0162665178044,5.16e-08,0.003139426983,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.981248559217124,NA,0.0097034073998317,1.83990063828227,0.00345967501492523,0.0272153062819236,2.13971601099591e-06,44.0040231479561
"35","Diesel Fuel water  (ug/L)","A",45,60,33,27,0.0018507,0.086749536208,0.000215,0.01457571884,0.00790857935085392,0.00179944952940251,0.00438172308122745,0.0114354356204804,0.00246527999999999,0.0139384761194334,NA,NA,NA,0.994546181964603,NA,NA,NA,NA,NA,NA,NA
"36","Diesel Range Organics water  (ug/L)","A",30,327,229,98,0.00075311927616,15.697134915,0.001064,19.492152448,0.682137294107497,0.107813250099177,0.4708272068569,0.893447381358094,0.0679546566400191,1.94960223771464,2.22180728746758e-14,66.6530165953003,3,0.995374219967595,NA,NA,NA,NA,NA,NA,NA
"37","Diethyl phthalate water  (ug/L)","B",69,616,191,425,2.684e-07,0.04697608739968,1.96268e-06,0.0726904121825,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.968307793677365,NA,0.000235864531906282,0.000202773354344903,0.000159124310726765,0.000349613941183986,1.1041996482826e-05,0.00503270230304623
"38","Dimethyl phthalate water  (ug/L)","C",84.9,616,93,523,4.316e-07,0.005494591872,5.28e-08,0.0767175818325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Ethylbenzene water  (ug/L)","C",100,88,0,88,NA,NA,9.91088e-06,0.00871591104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Fluoranthene water  (ug/L)","A",40,615,369,246,2.372e-07,0.00583806332928,2e-08,0.002338463641,0.00019198463436365,2.1882500198228e-05,0.000149095722083433,0.000234873546643867,1.61009324799993e-05,0.000542668357451539,8.0381079570202e-10,45.2875483929286,3,0.991769589342033,NA,NA,NA,NA,NA,NA,NA
"41","Fluorene water  (ug/L)","C",87,616,80,536,2.662e-07,0.004572030528,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Gasoline Range Organics water  (ug/L)","C",91.2,329,29,300,0.00096512715776,1.75429372032,0.00070288527296,3.81002544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Hardness as CaCO3 water  (ug/L)","A",0.3,624,622,2,0.014805,6225.87266643,0.0496,2.565246549,203.20356012518,27.2887928876616,149.71850888379,256.688611366569,8.81858549104072,681.673827848621,9.6368397024273e-16,73.0175019790558,3,0.99571498744388,NA,NA,NA,NA,NA,NA,NA
"44","Heavy Fuel Oil water  (ug/L)","A",16.8,191,159,32,0.00142696283904,49.0086503136,0.003579016986,29.238228672,1.23560536794451,0.345460758461101,0.558514723288864,1.91269601260016,0.188301300635786,4.77436267019747,8.12683254025615e-13,59.3415249558325,3,0.997084682217208,NA,NA,NA,NA,NA,NA,NA
"45","HPAH water  (ug/L)","A",32.4,618,418,200,4.928e-07,0.03235672387584,1.2502e-07,0.004676927282,0.000834193071220492,0.000105662556713107,0.000627098265548382,0.0010412878768926,5.45687389439942e-05,0.00262672950657867,3.89899224018109e-11,51.4624927746033,3,0.989842273560301,NA,NA,NA,NA,NA,NA,NA
"46","Indeno(1,2,3-cd)pyrene water  (ug/L)","B",71.1,616,178,438,9.78e-08,0.00237480542208,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991146737327139,NA,0.000159466983532421,0.000750933699793977,8.88835961619055e-05,0.000286101372300554,1.36437486905369e-06,0.0186376842884395
"47","Lead water  (ug/L)","A",0.5,620,617,3,2.5768288e-06,3.13110821448,6.796032e-06,7.928704e-06,0.0623410583771248,0.00873845097531678,0.045214009184835,0.0794681075694146,0.00159220847194064,0.217585674569281,5.50600853770559e-17,78.8166641574084,3,0.993127269370653,NA,NA,NA,NA,NA,NA,NA
"48","Lead water dissolved (ug/L)","A",18.9,610,495,115,2.6e-07,0.113563783284,5.348933083e-07,0.09753325326,0.00264159614892478,0.000362060053984001,0.00193197148287551,0.00335122081497405,4.18703531519793e-05,0.00894222368549611,1.98376625992758e-06,29.2505113312336,3,0.983693395002531,NA,NA,NA,NA,NA,NA,NA
